sid	path	kind	role	preview	top_cards	neighbors
SRC-3E64FADC77F8	stages/stage13/data/13-7/curved_wedge_asymptotic_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	{ | "archimedean_wedge": { | "integral": "I0=int k0(t(phi)) dphi", | "numeric_value": 0.019992536342322505, | "positive": true, | "support": "phi in (pi/4,3pi/8), t=-cot(2phi)" | }, | "boundary": { | "core_wings": "Stage13-7h gives O(B(log B)^(1/4)) for removed small-height/coordinate regions", | "minimal_scale": "k=1 is a separate two-variable channel of size O(B)=o(B(log B)^(1/3))" | }, | "euler_product_diagnostics": [ | { | "C_odd_at_111_truncated": 0.7900070482200645, | "E_scale_at_1_truncated": 0.7465742940632984, | "prime_cutoff": 1000, | "scale_summatory_constant_truncated": 0.2571225955227604 | }, | { | "C_odd_at_111_truncated": 0.7898896565195652, | "E_scale_at_1_truncated": 0.7465529579234422, | "prime_cutoff": 10000, | "scale_summatory_constant_truncated": 0.25711524728735785 | }, | { | "C_odd_at_111_truncated": 0.7898806547275439, | "E_scale_at_1_truncated": 0.7465513079077595, | "prime_cutoff": 100000, | "scale_summatory_constant_truncated": 0.2571146790166333 | }, | { | "C_odd_at_111_truncated": 0.78987992030628, | "E_scale_at_1_truncated": 0.7465511737379531, | "prime_cutoff": 1000000, | "scale_summatory_constant_truncated": 0.25711463280811914 | } | ], | "exact_j1_zero_factorization": { | "odd_cross_correction": "C_odd(1,1,1)=prod_{p=3 mod4}(1-p^-2) prod_{q=1 mod4} C_q, with C_q=(1-q^-1)^2 D_q/A_q and D_q=A_q+2/(q-1)+2*sum_{a,b>=1}2/(2(a+b)+1)q^(-(a+b)).", | "sc	SR-STR-039:2.25:Stage14 integral-space exactly-two half-power upper theorem; SR-STR-156:2.02:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-227:2.02:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-143:2.00:Exactly-two-face ambient asymptotic and cubic-host thinning law; SR-STR-145:1.95:Paired Gaussian-norm squareclass parity sieve for Stage19 zero density; SR-STR-195:1.89:Squarefree j=1728 twist compression of the joint physical squareclasses	
SRC-62981A5EAFAC	stages/stage13/data/13-7/deviation_scaling_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	{"metadata":{"stage":"13-7a","B_max":1000000,"status":"ACTIVE_7A_COMPLETE_TO_B_1E6_FINITE","scope":"complete finite enumeration; no asymptotic limit claim","note":"concise committed summary; the script computes the same counts and full normalized diagnostics"},"validation":{"lock_100k":{"raw":{"ab":84212,"ac":43236,"bc":40760},"exact_one":{"ab":84146,"ac":43180,"bc":40704},"matched":true},"independent_1m":{"method":"four disjoint shared-leg p blocks, independent join without primary leg-mark prefilter","raw":{"ab":1237105,"ac":636722,"bc":589898},"exact_one":{"ab":1236906,"ac":636568,"bc":589741},"matched":true}},"enumeration":{"integer_pythagorean_triples":1980642,"indexed_face_pairs":1464453,"glued_records":12419089,"primitive_raw_incidences":2463725},"cumulative":[{"B":100000,"raw":{"counts":{"ab":84212,"ac":43236,"bc":40760,"total":168208},"ratio_bc":{"ab":2.066045142296369,"ac":1.0607458292443572,"bc":1.0},"alpha":0.0006420622086940053,"beta":0.00735993531817751,"L1":0.015361932845049026},"exact_one":{"counts":{"ab":84146,"ac":43180,"bc":40704,"total":168030},"ratio_bc":{"ab":2.0672661163522013,"ac":1.0608294025157232,"bc":1.0},"alpha":0.0007796226864250633,"beta":0.007367731952627507,"L1":0.015515086591680077}},{"B":200000,"raw":{"counts":{"ab":190468,"ac":98023,"bc":91612,"total":380103},"ratio_bc":{"ab":2.0790726105750337,"ac":1.0699799152949396,"bc":1.0},"alpha":0.0010	SR-STR-196:1.59:Quantifier-safe shared-label min envelope and transverse difference-kernel localization; SR-STR-227:1.51:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-194:1.39:Shared-squareclass four-cell thin-packet switch; SR-STR-139:1.34:Same-measure physical occupancy L1/L2/exceptional-tail equivalence; SR-STR-142:1.33:Ambient integral-space-diagonal cuboid asymptotic and zero-face dominance; SR-STR-076:1.32:Matched finite M2-M3 completion panel	
SRC-14C87329A04B	stages/stage13/data/13-7/exact_one_fixed_prime_sieve_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	{ | "exact_one_asymptotics": { | "alpha_limit": 0.034736933231398814, | "bc_normalized_ratio": { | "ab": 2.431684750178191, | "ac": 1.115756428951881, | "bc": 1.0 | }, | "beta_limit": 0.01272764444795145, | "categorywise": { | "ab": "N_ab(B) ~ [kappa I_ab/(3 pi^3)] B(log B)^3", | "ac": "N_ac(B) ~ [kappa I_ac/(3 pi^3)] B(log B)^3", | "bc": "N_bc(B) ~ [kappa I_bc/(3 pi^3)] B(log B)^3" | }, | "normalized_proportion": { | "ab": 0.5347369332313988, | "ac": 0.24535917783225203, | "bc": 0.21990388893634913 | }, | "numeric_constants_using_stage12_kappa_diagnostic_only": { | "ab": 0.00013162477835561946, | "ac": 0.00006039483228608767, | "bc": 0.00005412904709213402 | }, | "perfect_cuboid_nonexistence_assumed": false, | "total": "N1(B) ~ [kappa/(24 pi)] B(log B)^3" | }, | "finite_set_squeeze": { | "arbitrary_k_consequence": "Since k is arbitrary, the limsup is zero: every pair overlap is o(B(log B)^3).", | "face_cuboid_consequence": "O=sum pair overlaps=o(B(log B)^3); the 7jc sandwich F<=O<=3F therefore also gives F(B)=o(B(log B)^3).", | "pair_bound": "For every fixed k and every pair q,r, O_qr(B)<=A_q,S(B), hence limsup O_qr(B)/(B(log B)^3)<=D_q(3/4)^k.", | "squeeze_factors": [ | {"number_of_fixed_sieve_primes": 1, "coefficient_upper_factor": 0.75}, | {"number_of_fixed_sieve_primes": 2, "coefficient_upper_factor": 0.5625}, | {"number_of_fixed_sieve_primes": 4, "coefficient_upper_factor	SR-STR-227:3.02:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-152:2.29:Already-space pair-overlap thinning for the second-face transition; SR-STR-156:2.02:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-160:1.82:All-shared-edge directional quarter-power Stage19 lower; SR-STR-077:1.80:Explicit one-parameter Saunderson coefficient floor; SR-STR-004:1.79:Space-diagonal one-face transition asymptotic	
SRC-E151FFC51921	stages/stage13/data/13-7/face_cuboid_coupled_kummer_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	{ | "finite_exact_checks": { | "H_parameter_max": 24, | "exact_factorization_failures": 0, | "homogeneous_quartic_failures": 0, | "kummer_identity_failures": 0, | "positive_integral_square_cases": 18, | "reduced_positive_parameter_pairs": 32041 | }, | "homogeneous_integer_form": { | "condition": "W^2=(u^2 n^2-m^2 v^2)(u^2 m^2-v^2 n^2)", | "denominator_note": "the rational denominator (vn)^4 is already a square, so the rational and integer square conditions are equivalent", | "linear_factorization": "W^2=(un-mv)(un+mv)(um-vn)(um+vn)", | "parameters": "s=u/v, t=m/n with gcd(u,v)=gcd(m,n)=1" | }, | "kummer_transform": { | "change": "U=st, V=s/t, Z=Vw", | "equation": "Z^2=U(U^2-1)V(V^2-1)=(U^3-U)(V^3-V)", | "geometry": "birational Kummer surface attached to E x E with E: y^2=x^3-x" | }, | "literature_boundary": { | "bonolis_browning_2021": "Their square-sieve framework gives uniform rational-point bounds on hyperelliptic fibrations, but no direct specialization has been verified that respects the primitive coupled height below with the needed o(B(log B)^3) strength.", | "chan_2024": "The total number of non-torsion integral points on E_D for squarefree D<N is O(N(log N)^(-1/4+eps)). Our Kummer points generally have rational x-coordinates with square denominators, so an additional denominator/discriminant-lowering step is required before this theorem can close the face-cuboid count.	SR-STR-151:3.56:Exact-height Kummer-to-Jacobi receiver with moving-transverse-family dispersion gate; SR-STR-195:3.24:Squarefree j=1728 twist compression of the joint physical squareclasses; SR-STR-156:3.24:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-057:3.13:Toric master space-diagonal receiver on the two-face host; SR-STR-152:3.05:Already-space pair-overlap thinning for the second-face transition; SR-STR-227:3.02:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law	
SRC-9C30922D9AA7	stages/stage13/data/13-7/face_cuboid_height_identity_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	{ | "checks": { | "alpha_height_bound_failures": 0, | "cases": 140462, | "curve_height_bound_failures": 0, | "max_H_alpha_over_4Hs4Ht": 0.5851851851851851, | "max_H_curve_over_8Hs6": 0.4988895061728395, | "yoshida_inversion_failures": 0 | }, | "identities": { | "alpha": "2*s*(s^2-1)*(1+s*t)/(s-t)", | "alpha_height": "H(alpha)<=4 H(s)^4 H(t)", | "curve_height": "H(E_{1,s})<=8 H(s)^6" | }, | "metadata": { | "scope": "finite exact validation of the algebraic height-transfer identities", | "stage": "13-7jd" | }, | "ranges": { | "H_s_max": 30, | "H_t_max": 20, | "coprime_positive_reduced_pairs_only": true, | "s_equal_t_skipped_as_degenerate": true | }, | "status": "PASS" | }	SR-STR-183:1.37:Exact eight-state Q2 Kummer covering image; SR-STR-150:1.31:Global mod-8 exclusion of the consecutive-parameter AR-039 Stage19 slice; SR-STR-156:1.21:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-084:1.18:Exact normalized physical-height identity with primitive scale retained; SR-STR-008:1.10:Thin but infinite space-diagonal cover of the exactly-two-face host; SR-STR-077:1.00:Explicit one-parameter Saunderson coefficient floor	
SRC-700AB0A925FB	stages/stage13/data/13-7/face_cuboid_primitive_height_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	{ | "cleared_face_cuboid": { | "edges": ["2mnuv", "(m^2-n^2)uv", "W"], | "first_face_diagonal": "(m^2+n^2)uv", | "parameters": "s=u/v, t=m/n; gcd(u,v)=gcd(m,n)=1", | "second_face_diagonal": "mn(u^2-v^2)", | "space_diagonal": "D0=mn(u^2+v^2)", | "square_condition": "W^2=(un-mv)(un+mv)(um-vn)(um+vn)" | }, | "finite_exact_checks": { | "H_parameter_max": 24, | "examples": [ | {"G": 9, "g": 18, "m": 17, "n": 9, "primitive_d": 697, "u": 9, "v": 1}, | {"G": 4, "g": 4, "m": 5, "n": 4, "primitive_d": 925, "u": 13, "v": 4}, | {"G": 6, "g": 6, "m": 17, "n": 6, "primitive_d": 3485, "u": 14, "v": 3}, | {"G": 68, "g": 68, "m": 20, "n": 17, "primitive_d": 2165, "u": 17, "v": 12}, | {"G": 6, "g": 6, "m": 13, "n": 6, "primitive_d": 4225, "u": 18, "v": 1}, | {"G": 19, "g": 38, "m": 19, "n": 17, "primitive_d": 3485, "u": 19, "v": 7}, | {"G": 4, "g": 4, "m": 5, "n": 4, "primitive_d": 3485, "u": 21, "v": 16}, | {"G": 42, "g": 42, "m": 7, "n": 6, "primitive_d": 697, "u": 21, "v": 16} | ], | "failures": 0, | "g_over_G_histogram": {"1": 15, "2": 3}, | "parameter_quadruples": 32041, | "square_solutions": 18 | }, | "metadata": {"scope": "exact primitive common-factor and coupled-height ledger", "stage": "13-7je"}, | "primitive_gcd_ledger": { | "G": "gcd(uv,mn)", | "conclusion": "G <= g <= 2G", | "lower_bound": "G divides every cleared edge/diagonal, including W because G^2 divides W^2", | "upper_bound_1	SR-STR-001:1.67:Primitive canonical cuboid population convention; SR-STR-192:1.66:K4 reciprocity 2-core peeling and three-regime graph escape; SR-STR-181:1.64:Primitive physical two-face gluing and compact conjugate-gap chart; SR-STR-183:1.54:Exact eight-state Q2 Kummer covering image; SR-STR-158:1.50:Explicit nonsplit degree-two R504 rank-jump construction; SR-STR-057:1.46:Toric master space-diagonal receiver on the two-face host	
SRC-140A0AC1285B	stages/stage13/data/13-7/face_cuboid_uniform_height_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	{ | "canonical_yoshida_parameters": { | "geometry": "Choose deterministically two integral faces of a primitive face cuboid. Yoshida's t is the Euclid parameter of one integral face triangle; s is the Euclid parameter of the Pythagorean triangle formed by the shared complementary edge, the second integral face diagonal, and d.", | "number_of_possible_s": "The four sign/inversion choices for s come from coprime integer pairs u,v with u^2+v^2<=B; crudely #s<=4B.", | "pythagorean_height": "If d<=B and s=u/v is reduced from the primitive base of that outer Pythagorean triangle, then u^2+v^2<=B, hence H(s)<=sqrt(B). The same argument gives H(t)<=sqrt(B)." | }, | "comparison_with_required_overlap_bound": { | "available": "F(B)<<B*exp(C1 log B/log log B)", | "gap": "For every fixed C1>0, exp(C1 L/log L)/(L^3) -> infinity. Thus the uniform worst-fiber theorem is too weak to transfer the raw asymptotic to exactly-one.", | "required": "F(B)=o(B(log B)^3)", | "what_would_close": "An average-over-s bound o((log B)^3) for the number of relevant points per eligible s, or a direct square-sieve/determinant estimate for the coupled (s,t) surface giving F(B)=O(B(log B)^(3-delta))." | }, | "conditional_exact_one": { | "bc_normalized_ratio": { | "ab": 2.431684750178191, | "ac": 1.115756428951881, | "bc": 1.0 | }, | "conditional_exact_one_statement": "if F(B)=o(B(log B)^3), then the exact-one norma	SR-STR-039:3.27:Stage14 integral-space exactly-two half-power upper theorem; SR-STR-181:3.16:Primitive physical two-face gluing and compact conjugate-gap chart; SR-STR-227:3.15:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-032:3.12:Exact shared-hypotenuse representation convolution; SR-STR-156:3.10:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-142:3.10:Ambient integral-space-diagonal cuboid asymptotic and zero-face dominance	
SRC-A8150CE01020	stages/stage13/data/13-7/first_harmonic_scaling_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	{"diagnostics":{"triples":11184006,"face_pairs":8466903,"glued":86383449},"rows":[{"B":100000,"ALL":{"direct":23.576240003351,"m1":-5852.66190409929,"geom":20120.479499921,"h1":-25162.0493512922,"inner":-25973.1414040203,"residual_after_h1":-811.092052728068,"primitive":5876.23814410264,"shells":251569,"boundary":0},"OE":{"direct":-254.282289702238,"m1":-2674.89020666326,"geom":4298.84575200101,"h1":-6246.21931705748,"inner":-6973.73595866427,"residual_after_h1":-727.516641606783,"primitive":2420.60791696102,"shells":71478,"boundary":0},"EE":{"direct":277.858529705589,"m1":-3177.77169743602,"geom":15821.63374792,"h1":-18915.8300342347,"inner":-18999.405445356,"residual_after_h1":-83.5754111212849,"primitive":3455.63022714161,"shells":180091,"boundary":0}},{"B":500000,"ALL":{"direct":1649.69978250006,"m1":-24078.4860288495,"geom":110133.409134528,"h1":-130095.588019165,"inner":-134211.895163377,"residual_after_h1":-4116.30714421253,"primitive":25728.1858113496,"shells":1522969,"boundary":0},"OE":{"direct":-268.897010188119,"m1":-11768.524167586,"geom":23388.5073163978,"h1":-32068.9224361919,"inner":-35157.0314839838,"residual_after_h1":-3088.10904779195,"primitive":11499.6271573979,"shells":422590,"boundary":0},"EE":{"direct":1918.59679268818,"m1":-12309.9618612636,"geom":86744.9018181299,"h1":-98026.6655829729,"inner":-99054.8636793935,"residual_after_h1":-1028.19809642057,"pri	SR-STR-018:0.69:Matched face-space population cross-ratio invariant; SR-STR-006:0.67:Space-diagonal two-face versus one-face zero-density transition; SR-STR-004:0.67:Space-diagonal one-face transition asymptotic; SR-STR-033:0.64:Mod-7 two-parameter exactly-one-face family; SR-STR-005:0.63:No-space one-face to two-face transition asymptotic; SR-STR-001:0.63:Primitive canonical cuboid population convention	
SRC-26AAB61005EF	stages/stage13/data/13-7/fixed_channel_reduction_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	{ | "effective_scale_support": "For a nonzero primitive transformed numerator, k is odd and every prime divisor of k is 1 mod 4. A factor 2 or q=3 mod 4 in gcd(p,z) kills the transformed numerator.", | "fixed_channel_local_kernel": { | "harmonic_l": { | "a=0": "D_b(8 l alpha_q)/(2b+1)^j", | "a>=1": "2 cos(8 l (a+b) alpha_q)/(2(a+b)+1)^j" | }, | "minimal_scale_subtraction": "T_F=U_F-1 when k=1. This is h=1 in OE and h=2 in EE, so it is a separate two-variable boundary channel and cannot be silently discarded.", | "notation": "At q=1 mod 4 let a=v_q(k), b=v_q(rs), e=a+b. Since gcd(r,s)=1, b belongs to at most one of r,s.", | "zero_mode": { | "a=0": "(2b+1)^(1-j)", | "a>=1": "2/(2(a+b)+1)^j" | } | }, | "free_scale_singularity": { | "harmonic_consequence": "The free scale k contributes no zeta pole to a nonzero angular harmonic. Uniform summatory cancellation while (r,s) grow is not proved here.", | "harmonic_factorization": "For fixed l>=1, Z_l,j(s)=L(s,xi_{8l})^(1/3^j) E_l,j(s) near s=1, again up to finitely many base-prime factors.", | "harmonic_generic_local": "1+sum_{a>=1} 2 cos(8 l a alpha_q)/(2a+1)^j q^(-as)", | "zero_factorization": "Z_0,j(s)=(zeta(s)L(s,chi_4))^(1/3^j) E_0,j(s), up to finitely many base-prime factors; E has local quotient 1+O(q^(-2 sigma)).", | "zero_fixed_base_consequence": "At the same external Selberg-Delange theorem level as Stage12, each fixed (r,s) z	SR-STR-217:3.25:Collective fixed-degree stratum proliferation reverse-count budget; SR-STR-148:2.99:One-face conditioning logarithmically enhances space-diagonal survival over the ambient space baseline; SR-STR-186:2.93:Balanced inert-prime quartic square-sieve dispatch; SR-STR-015:2.89:R504 elliptic base-change exceptional Prym locus gate; SR-STR-105:2.86:Fixed-coordinate squareclass support collapse; SR-STR-145:2.81:Paired Gaussian-norm squareclass parity sieve for Stage19 zero density	
SRC-537C8BF6747C	stages/stage13/data/13-7/harmonic_uniformity_budget_report.json	COMPUTATIONAL_REPORT	COMPUTATIONAL_EVIDENCE	{ | "assembled_remainder": { | "all_j_ge_2": "o(B(log B)^(1/3)) by the positive j=2 zero-channel majorant", | "j1_nonzero_harmonics_core": "o(B(log B)^(1/3)) by finite Vaaler truncation plus polylog-uniform Hecke cancellation", | "minimal_scale": "O(B)=o(B(log B)^(1/3)) for the largest j=1 zero boundary", | "result": "Every term other than the j=1 zero bulk is o(B(log B)^(1/3)).", | "small_height_or_coordinate": "O(B(log B)^(1/4))" | }, | "final_stage13_7i_conclusion": { | "exact_directional_ratio_limit_from_this_step": false, | "finite_positive_drift_promoted_to_secondary_asymptotic": true, | "pure_G_ac_minus_bc": "Delta_G(B) ~ K0 B(log B)^(1/3), with K0>0 as evaluated in curved_wedge_asymptotic_report.json.", | "reason_ratio_not_claimed": "7i proves the secondary ac-bc gap for the pure-G observable; a separate asymptotic for the individual G-neutral category masses is required before turning this into an ac/bc ratio limit statement." | }, | "finite_fourier_majorant": { | "constant_term_error": "O(1/L) times the positive j=1 zero-channel mass", | "degree": "L=(log B)^K with any fixed K>1/12; K=4 is a convenient choice", | "harmonic_coefficients": "for 1<=ell<=L, coefficient size O(1/ell)", | "pointwise_feature": "The interval indicator is bracketed pointwise, so no uniform Fejer convergence at moving jump locations is assumed.", | "tool": "standard Selberg/Vaaler trigonometric	SR-STR-217:2.50:Collective fixed-degree stratum proliferation reverse-count budget; SR-STR-227:2.27:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-156:2.16:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-015:2.09:R504 elliptic base-change exceptional Prym locus gate; SR-STR-145:2.08:Paired Gaussian-norm squareclass parity sieve for Stage19 zero density; SR-STR-187:2.06:Same-measure fixed-prime ordered-limit squareclass sieve	
