sid	path	kind	preview	top_ids
SRC-8EC9A00BFD09	README.md	PROJECT_DOC	# 完全直方体を探せ | 3本の辺をドラッグして伸ばし、対角線が整数になる直方体を探すブラウザゲームです。 | - 面対角線が整数になると、その線を赤く表示 | - 空間対角線が整数になっても赤く表示 | - `44 × 117 × 240` のオイラー直方体を見本として収録 | - 数値欄からの直接入力にも対応 | - スマートフォンのタッチ操作に対応 | ## 数学的な条件 | 辺を `a, b, c` とすると、面対角線は `√(a²+b²)`、`√(a²+c²)`、`√(b²+c²)`、空間対角線は `√(a²+b²+c²)` です。面対角線3本が整数ならオイラー直方体、さらに空間対角線も整数なら完全直方体です。完全直方体は現在も未発見です。 | GitHub Pages: https://fizawa460-bit.github.io/perfect-cuboid-game/ | ## 数学研究室 | 画面下部の研究室	SR-STR-033,SR-STR-227,SR-STR-156,SR-STR-001,SR-STR-039
SRC-A9E72C617229	docs/00_CURRENT_RESEARCH_STATUS.md	PROJECT_STATUS	# CURRENT RESEARCH STATUS | ```text | CURRENT_STAGE=Stage27-19-r5at-r5av-BATCH-SUBMITTED-PENDING-FRESH-AUDIT | STAGE12_STATUS=FROZEN_R09 | STAGE13_STATUS=CLOSED_R07 | STAGE14_STATUS=CLOSED_R06 | STAGE15_STATUS=CLOSED_R02_REVIEW_FROZEN | STAGE15_7_STATUS=R01_MERGED_AUDIT_STATUS_NOT_CANONICALLY_RECORDED | STAGE15_8_STATUS=CLOSED_R02 | STAGE15_FINAL_REVIEW=review/STAGE15-FINAL-SELF-CONTAINED-20260813-R02.html | STAGE16_	SR-STR-095,SR-STR-146,SR-STR-153,SR-STR-147,SR-STR-193
SRC-9F7CBCE127B9	docs/README.md	PROJECT_DOC	# Documentation index | The `docs/` root contains only current entry points and reusable interfaces. | Completed stage-specific research and operational history lives with its stage. | ## Current project entry points | - `00_CURRENT_RESEARCH_STATUS.md` — current research status; Stage26 checkpoint10 is submitted for fresh audit | - `../stages/stage26/26-10/result.md` — Stage26 third-face transition contract and exact	SR-STR-133,SR-STR-146,SR-STR-129,SR-STR-223,SR-STR-038
SRC-9A80DF3AE418	docs/cycle-exploration-safety-protocol.md	PROJECT_DOC	# Cycle Exploration Safety Protocol | Purpose: keep the fast single-active-route cycle workflow while reducing the risk that optimization, Arsenal anchoring, or repeated narrowing silently discards a mathematically distinct route. | This protocol is repository-wide and is intended to be invoked by future cycle prompts with one instruction: **apply the Cycle Exploration Safety Protocol**. Human operators should not ne	SR-STR-151,SR-STR-129,SR-STR-206,SR-STR-222,SR-STR-225
SRC-DC06E19F6A6E	docs/face-ratio-geometry-research.md	PROJECT_DOC	# 研究メモ（2026-08-05時点） | ## 空間対角線整数解における面成立比率・球面積分・代数幾何 | > **状態表示** | > - **確定**：厳密計算、代数的検算、または記載範囲での有限集計として確認済み | > - **経験的結果**：有限範囲のデータから確認済みだが、極限については未証明 | > - **有望な仮説**：計算や実測が支持する予想 | > - **未確認**：必要な検算・理論接続が未完了 | ## 1. 対象と実測結果 | 正の整数 | $$ | a<b<c,\qquad a^2+b^2+c^2=d^2 | $$ | を満たす四つ組について、三つの面 $a^2+b^2$、$a^2+c^2$、$b^2+c^2$ のどれが平方数になるかを調査した。 | ### 1.1 一面のみ成立する原始解【経験的結果】 | 条件 | $$ | d\le100{,}000,\qquad \gcd(a,b,c)=1	SR-STR-227,SR-STR-156,SR-STR-057,SR-STR-157,SR-STR-008
SRC-B84DC255B011	docs/self-contained-review-standard.md	PROJECT_DOC	# Self-contained mathematical review standard | ```text | STANDARD_ID=SELF_CONTAINED_REVIEW_STANDARD_V1 | STATUS=ACTIVE | PRECEDENTS=Stage12_R09,Stage13_R07,Stage14_R06 | DEFAULT_LABEL=SELF_CONTAINED_WITH_STATED_EXTERNAL_THEOREMS | SUMMARY_ONLY_IS_SELF_CONTAINED=false | TOP_LEVEL_REVIEW_ROOT=ACTIVE_RENDERED_REVIEW_ARTIFACTS_ONLY | ``` | ## 1. Purpose | This document fixes the project-wide meaning of a **self-containe	SR-STR-222,SR-STR-169,SR-STR-226,SR-STR-219,SR-STR-217
SRC-3AEC182EF778	stages/README.md	PROJECT_DOC	# Stage-oriented research layout | This repository uses a **stage-first** layout for stage-specific research assets. | ## Active entry point | Read first: | ```text | docs/00_CURRENT_RESEARCH_STATUS.md | ``` | ## Stage directories | Stage directory numbers are zero-padded to two digits so GitHub's lexical ordering matches the research order. | ```text | stages/stage02/   two-face geometry / Kummer classification | st	SR-STR-111,SR-STR-113,SR-STR-162,SR-STR-219,SR-STR-226
SRC-664C6539925E	stages/euler-cuboid/E-1a/definition.md	SUPPORTING_MATH_DOC	# E-1a — counting definition | > **STATUS:** `E_1A_COUNTING_CONVENTION_LOCKED` | > | > **TRACK:** face-diagonal-first / Euler side | > | > **SPACE-DIAGONAL INTEGRALITY:** not required | ## Object | Count positive integer edge triples in canonical order | ```text | 0 < a < b < c | ``` | with primitive normalization | ```text | gcd(a,b,c)=1. | ``` | Define | ```text | d_ab^2 = a^2+b^2 | d_ac^2 = a^2+c^2 | d_bc^2 = b^2+	SR-STR-001,SR-STR-039,SR-STR-055,SR-STR-141,SR-STR-227
SRC-83EB3E54E2E1	stages/euler-cuboid/E-1b/result.md	RESULT	# E-1b — first exactly-one population profile | > **STATUS:** `E_1B_COMPLETE_FINITE_ENUMERATION` | > | > **COUNTING:** primitive canonical `0<a<b<c` | > | > **CUTOFF:** `a^2+b^2+c^2 <= B^2` | > | > **SPACE-DIAGONAL INTEGRALITY:** not required | E-1b enumerates all three exactly-one populations under the E-1a convention: | ```text | N_ab(B), N_ac(B), N_bc(B). | ``` | The implementation generates Pythagorean face incid	SR-STR-001,SR-STR-227,SR-STR-039,SR-STR-055,SR-STR-146
SRC-FE2FCDC3FA2D	stages/euler-cuboid/E-1c/result.md	RESULT	# E-1c — cutoff scaling and directional-ratio analysis | > **STATUS:** `E_1C_COMPLETE_AT_FINITE_SCALING_DIAGNOSTIC_LEVEL` | > | > **COUNTING:** primitive canonical `0<a<b<c`, common geometric cutoff `a^2+b^2+c^2<=B^2` | > | > **SPACE DIAGONAL:** integrality not required | E-1c extends the E-1b exactly-one population profile from `B=10,000` to `B=500,000` and tests whether the apparent `2:1:1` shape persists. | ## 1. 	SR-STR-227,SR-STR-001,SR-STR-148,SR-STR-055,SR-STR-039
