SR-STR-001	Primitive canonical cuboid population convention	Positive edges are normalized by 0<a<b<c and gcd(a,b,c)=1 under a declared height and exact face-mask convention.	scale and permutation orbit deduplication
SR-STR-002	Saunderson parametrization of primitive Euler bricks	For a primitive Pythagorean triple (u,v,w), A=u|4v^2-w^2|, B1=v|4u^2-w^2|, C=4uvw; the generalized family yields M3(B)>>_epsilon B^(1/3-epsilon).	Saunderson construction
SR-STR-003	Degree-two K3 cover of the two-face toric Euler-brick host	On u^2=e^2+x^2 and v^2=e^2+y^2 adjoin z^2=x^2+y^2; the normalization is the degree-two K3 third-face cover.	third-face K3 cover
SR-STR-004	Space-diagonal one-face transition asymptotic	For matched primitive canonical R<=B populations, N1(B)/M1(B)~(kappa*pi/18)(log B)^2/B.	N1 M1 ratio
SR-STR-005	No-space one-face to two-face transition asymptotic	For matched primitive canonical R<=B populations, M2(B)/M1(B)~(4*pi^2*C_M2/3)(log B)^4/B.	M2 M1 ratio
SR-STR-006	Space-diagonal two-face versus one-face zero-density transition	For matched primitive canonical space-diagonal populations under R<=B, N2(B)/N1(B)->0.	N2 N1 ratio
SR-STR-007	Directional exactly-two face-mask identities	N2,a=A_ab,ac-A3, N2,b=A_ab,bc-A3, N2,c=A_ac,bc-A3; directional contrasts cancel A3.	exactly-two directional mask; triple-overlap cancellation
SR-STR-008	Thin but infinite space-diagonal cover of the exactly-two-face host	On M2 impose w^2=e^2+x^2+y^2; B^(1/4)<<N2(B)<<_epsilon B^(1/2+epsilon), hence N2/M2->0 while N2->infinity.	M2 to N2 transition
SR-STR-009	Euler-completion proportion on the unmarked at-least-two-face host	H_ge2=M2+M3 and Phi=M3/(M2+M3), with Phi->0.	Phi completion ratio
SR-STR-010	Multiplicity-three Euler-completion proportion on raw face-pair incidences	P_j=M2,j+M3, P=M2+3M3, Theta_j=M3/P_j and Theta=3M3/(M2+3M3). For every fixed eta<1/46, B^(-5/6)(log B)^(-5) << Theta_j,Theta <<_eta (log B)^(-eta), so the literal same-measure completion proportions tend to zero; moreover Theta_j/Theta_k -> C_k/C_j. The adjacent-stratum object ratio M3/M2 is not a conditional probability.	Theta completion ratio
SR-STR-011	Balanced Cayley-Gaussian packet normal form	Every active Stage14 face is covered by finitely decorated Cayley/Gaussian strips after gcd, sign, 2-primary and dyadic localization.	balanced Cayley packet
SR-STR-012	Uniform elliptic finite-fiber degree bridge	For E_t:Y^2=X(X-1)(X+t^2), exact 2-torsion and polynomial model heights, a uniform theorem gives deg_B(F)=B^o(1).	elliptic fiber degree bridge
SR-STR-013	Primitive-first Möbius reindexing	Insert common-scale Möbius inversion before truncation so primitive coefficients and boundary layers use natural variables.	primitive-first Möbius
SR-STR-014	Stage14 exact finite census and regression oracle	Locked primitive canonical integral-space exactly-two census under d<=B with exact objects and masks through the frozen cutoff.	Stage14 census oracle
SR-STR-015	R504 elliptic base-change exceptional Prym locus gate	In audited R504, rank E_F(Q(k))=1 with primitive generator P and the original 3P family has Theta(B^(1/10)); after the explicit nonsplit degree-two rank jump, the known physical rank-two lattice has image P+2E_H(Q(u)), intersection aP+bR with a odd and b even, minimum nondegenerate norm 5, P+2R growth Theta(B^(1/12)), and total known-lattice upper O(B^(1/10) log B). For the complete full-split family Hom_K(P_eta,E0_K)=0 generically, while the rational exceptional Prym/E0 isogeny locus is an unbounded-complexity external theorem gate and is not proved empty or finite. On the original rank-one multiplication graph, every nondegenerate physical multiple is odd with n>=3 and the audited aggregat	R504 Prym gate
SR-STR-016	Mixed-parity C17 genus-one lower family	For coprime p,q with p^4+q^4=17Z^2, e=4pq, x=4p^2-q^2, y=4q^2-p^2 and D=17Z give N2,c(B)>>sqrt(log B) on the physical cone.	C17 family
SR-STR-017	Euler third-face local blocker law and dimension-two sieve	For x^2+y^2=square, delta_2=2/9 and delta_p=2(p-chi_4(p))/(p^2+6p+1)=2/p+O(p^-2).	Euler local blocker
SR-STR-018	Matched face-space population cross-ratio invariant	I=(N2/M2)/(N1/M1)=N2*M1/(M2*N1) on matched populations; I>>B^(1/4)(log B)^(-7).	face-space cross ratio
SR-STR-019	Nested divisor-root first-moment receiver	Nested divisors t_p|m°, t_q|m°, f|t_pt_q plus two moving quadratic roots need a uniform every-cell first moment.	MAIN receiver
SR-STR-020	Safe-range fixed-residue Gaussian-prime sector occupancy	In Q(i), one residue modulo d in a fixed D4 sector has pointwise long-interval occupancy inside the Kai/Mitsui range.	Mitsui Kai range
SR-STR-021	Super-Kai individual Gaussian-residue occupancy gate	Beyond the Kai envelope there is no audited unconditional every-residue lower-density theorem, even for d=B^o(1).	SuperKai gate
SR-STR-022	Scalar host versus factor-pair measure separation	A divisor-many n=Em map does not replace an (E,m) measure while pair-dependent filters remain.	scalar pair firewall
SR-STR-023	Conditioned-kernel measure firewall	Identical inner reciprocal-CRT equations under different outer conditioning do not transfer savings.	conditioned kernel firewall
SR-STR-024	Valuation-reduced character recombination receiver	Valuation strata reduce to Q_nu,rho_nu and principal mass plus aggregate nonprincipal characters.	reduced modulus character receiver
SR-STR-025	Target-class mass countermodel	Total mass and L1/L2 Fourier identities may hold while a designated target residue has zero mass.	target avoiding mass
SR-STR-026	Averaged-versus-every-cell exceptional-set firewall	An averaged theorem needs an exceptional-set bridge in the same charged physical measure before pointwise reuse.	every-cell firewall
SR-STR-027	Weighted coprime rectangle convolution	Factor a two-variable coprime sum into one-variable series and a controlled cross correction.	coprime rectangle
SR-STR-028	Core-wing-shallow boundary separation	Separate small-coordinate wings and shallow-height sectors before smooth core transfer.	shallow sector
SR-STR-029	Fixed-prime overlap sieve with ordered limits	Use every fixed finite inert-prime set, take B to infinity, then grow the set to prove overlap little-o.	finite-prime overlap sieve
SR-STR-030	Ordered-chamber Gelfand-Leray directional transfer	Integrate coarea density over 0<a<b<c chambers to obtain directional constants.	directional coarea
SR-STR-031	Finite-order Selberg-Delange theorem contract	For F(s)=zeta(s)^zH(s), verify factorization, analytic region, growth and coefficient majorants.	Selberg Delange contract
SR-STR-032	Exact shared-hypotenuse representation convolution	For x^2+y^2=p^2 and p^2+c^2=d^2, C_raw=2 sum H(p)L_B(p), then correct primitive multiplicity separately. Stage14-t2 further gives a quantitative Pythagorean-chain envelope on the moving triple correction, with the strongest frozen global boundary T(B)=o(B(log B)^3); this is not a square-root or strict sub-square-root theorem and moving-base summation remains the obstruction.	Pythagorean chain
SR-STR-033	Mod-7 two-parameter exactly-one-face family	Coprime m=2 mod14,n=1 mod14 give a primitive integral-space exactly-one family with N1(B)>>B^(1/2).	mod-7 family
SR-STR-034	Matched second-face survival diagnostic	Compare matched finite exactly-one sources and exactly-two survivors under one cutoff and orientation.	second-face panel
SR-STR-035	Local-class and face-graph cluster diagnostic panel	Condition the frozen N2 census on congruence classes, repeated diagonals and graph clusters.	face graph panel
SR-STR-036	Primitive Euclid face decomposition	An integral right-triangle face with a distinguished leg has a unique scale times primitive Euclid certificate.	Euclid face certificate
SR-STR-037	Exact two-face gluing with multiplicity one	Two primitive oriented Pythagorean faces glued on a common physical leg reconstruct a primitive canonical cuboid without hidden scale multiplicity.	two-face gluing
SR-STR-038	Raw-pair face-incidence graph identity	E(B)=N2(B)+3T(B)=1/2 sum_F deg_B(F), hence N2(B)<=E(B), on the Stage14 integral-space raw-incidence graph.	raw-pair graph
SR-STR-039	Stage14 integral-space exactly-two half-power upper theorem	For primitive canonical 0<a<b<c with integral d<=B and exactly two integral faces, N2(B)<<B^(1/2+o(1)).	Stage14 half-power bound
SR-STR-040	Consumed and superseded asset recharge discipline	Each support, core and fiber is charged once; superseded theorems retain valid lemmas but consumed data cannot be recharged.	recharge-forbidden discipline
SR-STR-041	Oriented-record to canonical face-incidence projection	Oriented face records project with exact factor two to canonical face incidences, with one/two/three-face overlaps corrected separately.	Stage13 Stage14 projection
SR-STR-042	Physical restrictions as monotone post-filters for upper bounds	Positivity, ordering, primitivity, parity, space square and exact face masks may only reduce a proved algebraic superset upper bound.	monotone mask filter
SR-STR-043	Common-core decomposition and high-core emptiness	A common Cayley core divides endpoint products; surviving nonproportional fixed-power cells satisfy core exponent chi<=1/4.	lost-core decomposition
SR-STR-044	Primitive Gaussian root-line lattice count	Count primitive (U,V) on quadratic CRT root lines C0|a0^2U^2+b0^2V^2 without a crude boundary loss.	Gaussian root-line count
SR-STR-045	Primitive-ratio rigidity and one-pair reconstruction	One primitive agreement pair determines the opposite agreement product and moving root product up to divisor-many fibers.	one-pair reconstruction
SR-STR-046	Endpoint-linear column reconstruction	Reduced endpoint forms L_-=J_-h_- and L_+=J_+h_+ reconstruct the column variable M with quantified short support.	column reconstruction
SR-STR-047	Reverse reciprocal difference-of-squares reconstruction	For fixed (U,V,M), two coupled difference-of-squares factorizations leave only divisor-many completions.	X13 reverse reconstruction
SR-STR-048	CRT row lift as post-reconstruction filter	After reverse reconstruction fixes divisor-many row candidates, CRT congruences only reject candidates and add no independent support power.	row lift firewall
SR-STR-049	Fixed-outer common-gcd square-divisor adapter	The odd common gcd of a quadratic root pair has square dividing already-fixed outer data, so only divisor-many gcd choices remain.	gcd square-divisor adapter
SR-STR-050	Proportional four-cell root-gcd transfer	In the proportional branch, same-side and cross-side Gaussian root gcds force square divisibility and give a sub-half-power branch bound.	four-cell gcd transfer
SR-STR-051	Polynomially bounded divisor and finite-fiber adapter	For nonzero n<=B^C, divisor-many choices or uniformly finite fixed-degree fibers cost only B^o(1).	divisor finite-fiber adapter
SR-STR-052	Gaussian quotient and cross-resultant dictionary	Separate self-generated Gaussian root data from cross-point congruence information carried by quotients and resultants.	cross-resultant dictionary
SR-STR-053	Cayley-Gaussian squareclass orientation split	Primewise Gaussian orientations split one common core into same/opposite support corresponding to C_-|M-N and C_+|M+N without double charge.	same opposite orientation
SR-STR-054	Reciprocal divisor-CRT kernel	The stable q17 inner problem consists of two coupled divisor choices, a factor-pair equation and two reciprocal CRT congruences.	q17 kernel
SR-STR-055	Literal exactly-two-face space-diagonal subset contract	N2(B)=M2(B) intersect {R integral} under the same primitive canonical object measure and cutoff R<=B; B^(1/4)<<N2(B)<<_epsilon B^(1/2+epsilon).	true N2 exponent attack
SR-STR-056	Parameter-mass versus physical-height lower-family exponent calculus	If #Omega(T)>>T^(kappa-o(1)) and R<<T^(h+o(1)) with controlled fibers, then N2(B)>>B^(kappa/h-o(1)); beating 1/4 requires kappa/h>1/4.	kappa over h progress gate
SR-STR-057	Toric master space-diagonal receiver on the two-face host	For x=m/n and y=r/s, the space condition is x^2 y^2+1=z^2(x^2+y^2).	Stage19 master receiver
SR-STR-058	Split-factor nonisotrivial genus-one tau torsor	(x^2-z^2)(y^2-z^2)=z^4-1; after tau=(x^2-z^2)/(z^2-1), the generic physical fiber is a smooth nonisotrivial genus-one binary quartic over Q(tau).	master split genus-one torsor
SR-STR-059	Tau-adic parity obstruction to a rational section	On the generic tau-fiber over Q((tau)), the affine right side has even valuation while tau*V^2 has odd valuation; the infinity squareclass (tau+2)/tau is also nonsquare.	valuation parity no-section certificate
