sid	path	kind	role	preview	top_cards
SRC-8EC9A00BFD09	README.md	PROJECT_DOC	SUPPORTING_CONTEXT	# 完全直方体を探せ | 3本の辺をドラッグして伸ばし、対角線が整数になる直方体を探すブラウザゲームです。 | - 面対角線が整数になると、その線を赤く表示 | - 空間対角線が整数になっても赤く表示 | - `44 × 117 × 240` のオイラー直方体を見本として収録 | - 数値欄からの直接入力にも対応 | - スマートフォンのタッチ操作に対応 | ## 数学的な条件 | 辺を `a, b, c` とすると、面対角線は `√(a²+b²)`、`√(a²+c²)`、`√(b²+c²)`、空間対角線は `√(a²+b²+c²)` です。面対角線3本が整数ならオイラー直方体、さらに空間対角線も整数なら完全直方体です。完全直方体は現在も未発見です。 | GitHub Pages: https://fizawa460-bit.github.io/perfect-cuboid-game/ | ## 数学研究室 | 画面下部の研究室では、現在の辺から `S = a²+b²+c²` を素因数分解し、証明済みの条件を自動判定します。 | - 原始オイラー直方体の奇偶則 | - `p ≡ 3 (mod 4)` の素数は `S` に偶数指数で現れる | - オイラー直方体では `v₅(S) ≠ 1` | - 研究対象の例を切り替え、結果をセッション内の研究ログへ保存 | - 条件を満たさない一般の直方体は「反例」ではなく「反例候補」として区別 | このモードは完全直方体の発見を断定するものではなく、固定された定理を使って数値変更→仮説→検証→記録を繰り返す数学研究シミュレーションです。 | ## 原始オイラー分布 | 画面下部に、3辺が1万以下の原始オイラー直方体19種類を正確な点として表示する3D分布図があります。 | - 「実際の辺」では `(a, b, c)` を共通スケールで表示 | - 「形の比率」では最大辺を1として形状を比較 | - 空白部分をドラッグして回転 | - 赤い点を押すと3辺と最大辺に対する比率を表示 | - 拡大コピーは含めず、最大公約数1の原始形だけを収録 | 点の密集は既知19点の分布であり、未知の候補が存在する確率を示すものではありません。 | ## 面2本成立群（d ≤ 100000） | 研究ビュー⑭では、空間対角線 `d` と面対角線2本以上が整数になる点だけを事前計算データから3D表示します。母集団の灰色点は表示しません。 | - 探索範囲：`d ≤ 100000` | - 辺の順序：`a < b < c` | - 原始条件：`gcd(a,b,c)=1`（拡大コピーを除外） | - 列挙法：ピタゴラス三角形を共通辺で二段接続し、辺の置換と重複を除外 | - 正規化座標：`(a/d, b/d, c/d)` | - 累積件数：`d≤20000` は42件、`d≤50000` は62件、`d≤100000` は89件 | - カテゴリ（10万以下）：`ab+ac` 33件、`ab+bc` 33件、`ac+bc` 23件、3面成立候補0件 | - 増加分：`20000<d≤50000` は20件、`50000<d≤100000` は27件 | この件数は上記の生成・原始・並べ替え条件による列挙結果です。無制限範囲の「すべて」を意味せず、完全直方体の不存在や新規性を主張するものでもありません。 | ## 89件の数論解析 | 研究ビュー⑮では、上記89件について辺比率ではなく、未成立の1面を数論的に比較します。 | - 未成立面の平方和 `N` と、`Δ = 最寄り平方数 - N` | - `Δ/N` と、平方数間隔で規格化した `Δ/(2√N)` | - `N` と `|Δ|` の素因数分解、主要素数の出現件数と最大指数 | - `mod 4, 8, 16, 3, 5, 7, 9, 11, 13` の全体・3カテゴリ別集計 | - 成立している各ピタゴラス面を `k(m²-n²), 2kmn, k(m²+n²)` に戻した `m,n,k` | 表示は観察用の有限集計であり、偏りを定理・証明・新規性として主張するものではありません。	SR-STR-033:1.71:Mod-7 two-parameter exactly-one-face family; SR-STR-227:1.64:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-156:1.48:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-001:1.46:Primitive canonical cuboid population convention; SR-STR-039:1.43:Stage14 integral-space exactly-two half-power upper theorem; SR-STR-077:1.40:Explicit one-parameter Saunderson coefficient floor; SR-STR-217:1.38:Collective fixed-degree stratum proliferation reverse-count budget; SR-STR-195:1.35:Squarefree j=1728 twist compression of the joint physical squareclasses
SRC-A9E72C617229	docs/00_CURRENT_RESEARCH_STATUS.md	PROJECT_STATUS	LIFECYCLE_CONTEXT	# CURRENT RESEARCH STATUS | ```text | CURRENT_STAGE=Stage27-19-r5at-r5av-BATCH-SUBMITTED-PENDING-FRESH-AUDIT | STAGE12_STATUS=FROZEN_R09 | STAGE13_STATUS=CLOSED_R07 | STAGE14_STATUS=CLOSED_R06 | STAGE15_STATUS=CLOSED_R02_REVIEW_FROZEN | STAGE15_7_STATUS=R01_MERGED_AUDIT_STATUS_NOT_CANONICALLY_RECORDED | STAGE15_8_STATUS=CLOSED_R02 | STAGE15_FINAL_REVIEW=review/STAGE15-FINAL-SELF-CONTAINED-20260813-R02.html | STAGE16_STATUS=CLOSED_R01_AUDIT_PASS | STAGE16S_STATUS=CLOSED_R01_AUDIT_PASS | STAGE17_STATUS=CLOSED_R01_AUDIT_PASS_WITH_R009A_AUXILIARY_MASK_RECEIVER_SYNCED | STAGE18_STATUS=CLOSED_R01_AUDIT_PASS_WITH_R010A_AND_PHASE60_RECEIVERS_SYNCED | STAGE19_STATUS=CLOSED_R01_AUDIT_PASS_WITH_POST_STAGE25_DIRECTIONAL_SUPERSESSION | STAGE20_STATUS=CLOSED_R01_AUDIT_PASS_WITH_R010A_AND_PHASE60_RECEIVERS_SYNCED_STAGE26_READY | STAGE21_STATUS=CLOSED_AUDIT_PASS_MERGED_PR950_WITH_R011A_GEOMETRIC_RECEIVER_SYNCED | STAGE22_STATUS=CLOSED_AUDIT_PASS_MERGED_PR957_WITH_R010A_R011A_RECEIVERS_SYNCED | STAGE23_STATUS=CLOSED_AUDIT_PASS_MERGED_PR966_WITH_R008A_R009A_BACKFLOW | STAGE24_STATUS=CLOSED_AUDIT_PASS_MERGED_PR979_WITH_DIRECTIONAL_BACKFLOW | STAGE25_STATUS=CLOSED_R01_AUDIT_PASS | STAGE25_REENTRY_STATUS=CLOSED_AUDITED_PASS_MERGED_STAGE26_HANDOFF_READY | STAGE25_REENTRY_PHASE10_STATUS=AUDITED_PASS_MERGED | ALL_REENTRY_PHASES_AUDITED=true | BACKFLOW_SYNCHRONIZED=true | STAGE26_ALLOWED=true | STAGE26_STATUS=CLOSED_AUDITED_PASS_MERGED | STAGE26_CHECKPOINT70_STATUS=SYNTHESIS_AUDITED_PASS_MERGED_PR1020 | STAGE26_M3_CURRENT_LOWER_EXPONENT=1/3_MINUS_EPSILON | STAGE26_TRUE_M3_EXPONENT_IDENTIFIED=false | STAGE27_STATUS=OPEN_CHECKPOINT40_WITH_STAGE19_UPPER_REENTRY_R5AT_R5AV_PENDING_FRESH_AUDIT | STAGE27_PROGRAM=TRUE_N2_EXPONENT_ATTACK | STAGE27_CHECKPOINT10_STATUS=CONTRACT_AUDITED_PASS_MERGED_PR1021 	SR-STR-095:0.40:Modulus-entropy barrier after physical weighting; SR-STR-146:0.38:Current certified Euler-cuboid global envelope with unresolved true exponent; SR-STR-153:0.32:Odd-odd Stage15-2 family mod-16 space-lift annihilation; SR-STR-147:0.28:Euler third-face local blocker law and sieve-dimension-two rarity mechanism; SR-STR-193:0.27:E-column Walsh collapse and root-sawtooth spacing closure; SR-STR-052:0.26:Gaussian quotient and cross-resultant dictionary; SR-STR-221:0.24:Unbalanced short-denominator square-part versus two-cell minimum receiver; SR-STR-224:0.23:Fixed-R coefficient-cell accumulation and hyperbolic boundary barrier
SRC-9F7CBCE127B9	docs/README.md	PROJECT_DOC	SUPPORTING_CONTEXT	# Documentation index | The `docs/` root contains only current entry points and reusable interfaces. | Completed stage-specific research and operational history lives with its stage. | ## Current project entry points | - `00_CURRENT_RESEARCH_STATUS.md` — current research status; Stage26 checkpoint10 is submitted for fresh audit | - `../stages/stage26/26-10/result.md` — Stage26 third-face transition contract and exact object/raw-incidence measure bridge | - `../stages/stage26/26-10/discovery-ledger.md` — Stage26 repository-scale candidate inventory and reuse decisions | - `stage16-28-population-roadmap.md` — population/condition-interaction roadmap; for Stage21-28 it must be read together with the full-exploration normative addendum below | - `stage21-28-exploration-policy.md` — **normative Stage21-28 research-phase addendum**: formula substitution is only the starting point; require proactive interface upgrades, refinement search, interaction analysis, bounded research sublanes, and maximal rigorous deductions within stage scope | - `stage25-reentry-roadmap.md` — post-Stage25, pre-Stage26 reentry campaign: reattack Stages24→23→22→21→20 and propagate audited weapon improvements | - `stage25-reentry-operations.md` — ChatGPT-first main/audit command contract and Stage26 handoff gates for the reentry campaign | - `stage14-15-bound-attack-map.md` — AI-readable entry point to the complete Stage14/15 upper/lower attack ledger, method/signature coverage, failed-route evidence, and targeted-review queue | - `stage14-15-bound-deep-review-queue.md` — curated chronological clusters that distinguish active, reusable, external-gate, exhausted, and population-mismatched Stage14/15 routes | - `structure-radar/README.md` — ChatGPT-first repository-wide structure census, search-term gene	SR-STR-133:2.08:Half-power bottleneck taxonomy for the N2 upper attack; SR-STR-146:1.79:Current certified Euler-cuboid global envelope with unresolved true exponent; SR-STR-129:1.71:Missing T-to-MAIN measure adapter for weighted averaging; SR-STR-223:1.66:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-038:1.62:Raw-pair face-incidence graph identity; SR-STR-042:1.54:Physical restrictions as monotone post-filters for upper bounds; SR-STR-125:1.51:Stage14 first-moment receiver restricted to the wall slab; SR-STR-169:1.50:Correlation-only canonical-divisor/projective-mover transfer suite
SRC-9A80DF3AE418	docs/cycle-exploration-safety-protocol.md	PROJECT_DOC	SUPPORTING_CONTEXT	# Cycle Exploration Safety Protocol | Purpose: keep the fast single-active-route cycle workflow while reducing the risk that optimization, Arsenal anchoring, or repeated narrowing silently discards a mathematically distinct route. | This protocol is repository-wide and is intended to be invoked by future cycle prompts with one instruction: **apply the Cycle Exploration Safety Protocol**. Human operators should not need to remember when to switch modes manually. | ## 1. Default operating mode: one active route | Keep one active receiver/gate whenever possible. Do not split merely because several ideas can be named. | For each audited substage classify the result as one of: | - `PASS_NEXT_GATE_UNCHANGED`: the current route remains legal and should continue. | - `PASS_NEW_GATE_FROM_STRONGER_VIEW`: the audited route remains valid, but a strictly stronger or cleaner formulation/receiver has been proved; replace the active gate with it. | - `BLOCKED_NEW_PATTERN_ISOLATED`: the attempted route is blocked, but the failure exposes a new exact obstruction, invariant, receiver, theorem species, or legal charge candidate; freeze the block and continue from the new pattern. | - `BLOCKED_NO_NEW_INFORMATION`: the route is closed and adds no new live mathematical object; archive it and choose the best remaining live candidate. | - `SPLIT_TRIGGERED_DISTINCT_OBSTRUCTIONS`: two or more live routes are proved genuinely non-equivalent and neither depends on resolving the other. Only then open parallel branches. | A `BLOCK` is not a command to stop the research cycle. Freeze the reason, prohibit unsupported reuse, and route to the next legal candidate. | ## 2. Candidate ledger | Every cycle must maintain, explicitly or in its frozen exit, a candidate ledger with statuses: | - `LIVE`: currentl	SR-STR-151:2.61:Exact-height Kummer-to-Jacobi receiver with moving-transverse-family dispersion gate; SR-STR-129:2.57:Missing T-to-MAIN measure adapter for weighted averaging; SR-STR-206:2.56:Single-prime two-square influence and primitive projective-slope transport chain; SR-STR-222:2.54:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-225:2.47:Signed fixed-U Kummer rectangle/Rayleigh receiver and polar-Schatten firewall; SR-STR-219:2.39:Fixed-direction j=1728 fiber compression versus active-direction sparsity barrier; SR-STR-015:2.39:R504 elliptic base-change exceptional Prym locus gate; SR-STR-217:2.38:Collective fixed-degree stratum proliferation reverse-count budget
SRC-DC06E19F6A6E	docs/face-ratio-geometry-research.md	PROJECT_DOC	SUPPORTING_CONTEXT	# 研究メモ（2026-08-05時点） | ## 空間対角線整数解における面成立比率・球面積分・代数幾何 | > **状態表示** | > - **確定**：厳密計算、代数的検算、または記載範囲での有限集計として確認済み | > - **経験的結果**：有限範囲のデータから確認済みだが、極限については未証明 | > - **有望な仮説**：計算や実測が支持する予想 | > - **未確認**：必要な検算・理論接続が未完了 | ## 1. 対象と実測結果 | 正の整数 | $$ | a<b<c,\qquad a^2+b^2+c^2=d^2 | $$ | を満たす四つ組について、三つの面 $a^2+b^2$、$a^2+c^2$、$b^2+c^2$ のどれが平方数になるかを調査した。 | ### 1.1 一面のみ成立する原始解【経験的結果】 | 条件 | $$ | d\le100{,}000,\qquad \gcd(a,b,c)=1 | $$ | で合計168,030件あり、内訳は次のとおり。 | $$ | \begin{aligned} | ab_{\mathrm{only}}&=84{,}146,\\ | ac_{\mathrm{only}}&=43{,}180,\\ | bc_{\mathrm{only}}&=40{,}704. | \end{aligned} | $$ | データには $a,b,c,d$、分類、および成立しない二面の最近接平方数との差 $\Delta$ が保存されている。 | データファイル：[ab_ac_bc_actual.json](../ab_ac_bc_actual.json) | $ac$ を1とした原始解比は | $$ | ab:ac:bc=1.94873:1:0.94266 | $$ | であり、概略では $2:1:1$ である。割合は $50.078\%:25.698\%:24.224\%$ である。 | ### 1.2 非原始解込み【経験的結果】 | $d\le100{,}000$ での件数は次のとおり。 | | 分類 | 原始解 | 非原始込み | 倍率 | | |---|---:|---:|---:| | | abのみ | 84,146 | 362,324 | 4.3059 | | | acのみ | 43,180 | 179,313 | 4.1527 | | | bcのみ | 40,704 | 178,089 | 4.3752 | | | 合計 | 168,030 | 719,726 | 4.2833 | | 非原始解込みの比は | $$ | ab:ac:bc=2.02062:1:0.99317 | $$ | であり、割合は $50.342\%:24.914\%:24.744\%$ である。 | ### 1.3 二面成立【経験的結果】 | $d\le1{,}000{,}000$ の二面成立原始解は255件である。 | $$ | \begin{aligned} | ab+ac&=98,\\ | ab+bc&=101,\\ | ac+bc&=56,\\ | \mathrm{perfect}&=0. | \end{aligned} | $$ | $d\le100{,}000$ では一面のみ成立が168,030件、二面成立が89件で、$N_2/N_1\approx0.0530\%$ である。二面成立89件を各面へ加え戻すと、比は補正前の $1.94873:1:0.94266$ から補正後の $1.94772:1:0.94274$ となる。したがって、二面成立が主比率へ与える影響は有限範囲では極めて小さい。 | ## 2. 解析①：球面積分モデル | ### 2.1 正規化と順序領域【確定】 | $$ | x=\frac ad,\qquad y=\frac bd,\qquad z=\frac cd | $$ | と置き、 | $$ | R=\{(x,y,z)\in S^2:0<x<y<z\} | $$ | とする。球面座標 | $$ | x=\sin\theta\cos\varphi,\quad | y=\sin\theta\sin\varphi,\quad | z=\cos\theta | $$ | 	SR-STR-227:2.39:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-156:1.75:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-057:1.67:Toric master space-diagonal receiver on the two-face host; SR-STR-157:1.62:Complete rational degree-two base-change descent with split/nonsplit commuting-lift loci; SR-STR-008:1.46:Thin but infinite space-diagonal cover of the exactly-two-face host; SR-STR-063:1.46:Tau pushforward invariant and collision receiver; SR-STR-001:1.46:Primitive canonical cuboid population convention; SR-STR-007:1.46:Directional exactly-two face-mask identities
SRC-B84DC255B011	docs/self-contained-review-standard.md	PROJECT_DOC	SUPPORTING_CONTEXT	# Self-contained mathematical review standard | ```text | STANDARD_ID=SELF_CONTAINED_REVIEW_STANDARD_V1 | STATUS=ACTIVE | PRECEDENTS=Stage12_R09,Stage13_R07,Stage14_R06 | DEFAULT_LABEL=SELF_CONTAINED_WITH_STATED_EXTERNAL_THEOREMS | SUMMARY_ONLY_IS_SELF_CONTAINED=false | TOP_LEVEL_REVIEW_ROOT=ACTIVE_RENDERED_REVIEW_ARTIFACTS_ONLY | ``` | ## 1. Purpose | This document fixes the project-wide meaning of a **self-contained mathematical review** so that later stages do not silently weaken the standard. | The precedents are the active Stage12 R09, Stage13 R07, and Stage14 R06 review bundles. Stage14 is especially important: external hostile review found that several already-proved internal steps had been compressed to citations or short assertions, and the bundle was repaired by transcribing those proofs without changing the theorem. That repair pattern is the default rule for future stages. | A self-contained review is not merely an executive summary with repository paths. It is a proof-facing artifact that a fresh mathematical reviewer can audit without browsing the repository, except for theorem-level external literature explicitly declared as an external input. | ## 2. Canonical boundary | The default project status is | `SELF_CONTAINED_WITH_STATED_EXTERNAL_THEOREMS`. | This means: | 1. **Internal load-bearing mathematics is physically present.** Every project-internal lemma, adapter, normalization, multiplicity statement, measure transfer, cutoff identification, local-density computation, or quantifier step needed for the final implication chain is stated and proved, or transcribed in proof-complete form, inside the review artifact. | 2. **Published external theorems may remain external.** Their full proofs need not be reproduced. The review must state the exact working f	SR-STR-222:2.66:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-169:2.39:Correlation-only canonical-divisor/projective-mover transfer suite; SR-STR-226:2.36:Primitive oriented integral-space one-face incidence asymptotic; SR-STR-219:2.29:Fixed-direction j=1728 fiber compression versus active-direction sparsity barrier; SR-STR-217:2.25:Collective fixed-degree stratum proliferation reverse-count budget; SR-STR-129:2.23:Missing T-to-MAIN measure adapter for weighted averaging; SR-STR-118:2.19:Möbius injection from occupied q1 support to active-face support; SR-STR-207:2.19:Nested primitive-slope acceptance and canonical two-factor density receiver
SRC-3AEC182EF778	stages/README.md	PROJECT_DOC	SUPPORTING_CONTEXT	# Stage-oriented research layout | This repository uses a **stage-first** layout for stage-specific research assets. | ## Active entry point | Read first: | ```text | docs/00_CURRENT_RESEARCH_STATUS.md | ``` | ## Stage directories | Stage directory numbers are zero-padded to two digits so GitHub's lexical ordering matches the research order. | ```text | stages/stage02/   two-face geometry / Kummer classification | stages/stage03/   Mordell--Weil analysis | stages/stage04/   all observed-fiber rank analysis | stages/stage05/   rank / canonical-height audit | stages/stage06/   height theory | stages/stage07/   inverse-height analysis | stages/stage08/   local sieve | stages/stage09/   divisor-chain analysis | stages/stage10/   explicit one-face family / lower bound | stages/stage11/   shared-face-diagonal convolution | stages/stage12/   frozen Stage12 R09 result and provenance | stages/stage13/   frozen Stage13 R07 result and provenance | stages/stage14/   frozen Stage14 R05 result, arsenal, and provenance | stages/stage15/   active Stage15 comparison work | ``` | Stage-specific mathematics, scripts, derived reports, and frozen workflows belong under the corresponding stage directory. Repository-wide/shared source data and status documents may remain at top level. | ## Naming rule | The stage/task context belongs in the **path**, not at the end of every filename. Stage directories always use two decimal digits (`stage02`, ..., `stage09`, `stage10`, ...). | Preferred: | ```text | stages/stage10/scripts/audit_one_face_lower_bound.py | stages/stage10/data/lower_bound_report.json | stages/stage12/archive/scripts/2k/audit_final_remainder.py | ``` | Avoid for new files: | ```text | scripts/audit_one_face_lower_bound_stage10.py | data/final_remainder_stage12_n1_2k_report.json | 	SR-STR-111:2.26:Pointwise fixed q1-delta subpower count and uniformity firewall; SR-STR-113:2.16:Delta fibers as descent coverings of one Mordell-Weil group; SR-STR-162:2.11:Moving first-small-point height pipeline via large prime plus complete 2-descent; SR-STR-219:2.09:Fixed-direction j=1728 fiber compression versus active-direction sparsity barrier; SR-STR-226:2.08:Primitive oriented integral-space one-face incidence asymptotic; SR-STR-156:2.02:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-151:2.02:Exact-height Kummer-to-Jacobi receiver with moving-transverse-family dispersion gate; SR-STR-106:1.92:Fixed q1-delta nonisotrivial genus-one fiber geometry
SRC-664C6539925E	stages/euler-cuboid/E-1a/definition.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	# E-1a — counting definition | > **STATUS:** `E_1A_COUNTING_CONVENTION_LOCKED` | > | > **TRACK:** face-diagonal-first / Euler side | > | > **SPACE-DIAGONAL INTEGRALITY:** not required | ## Object | Count positive integer edge triples in canonical order | ```text | 0 < a < b < c | ``` | with primitive normalization | ```text | gcd(a,b,c)=1. | ``` | Define | ```text | d_ab^2 = a^2+b^2 | d_ac^2 = a^2+c^2 | d_bc^2 = b^2+c^2 | D^2    = a^2+b^2+c^2. | ``` | ## Cutoff | Use the same geometric space-diagonal height as the space-diagonal-first track: | ```text | D <= B. | ``` | On this Euler-side track, `D` need not be an integer. The cutoff is tested exactly without floating point by | ```text | a^2+b^2+c^2 <= B^2. | ``` | Thus the comparison with the space-diagonal-first population changes only the acceptance condition `D in Z`, not the geometric height convention. | ## Exactly-one directional populations | For each primitive canonical triple under the cutoff, test the three face sums for being perfect squares. | ```text | N_ab(B): a^2+b^2 is a square, | a^2+c^2 and b^2+c^2 are not squares. | N_ac(B): a^2+c^2 is a square, | a^2+b^2 and b^2+c^2 are not squares. | N_bc(B): b^2+c^2 is a square, | a^2+b^2 and a^2+c^2 are not squares. | ``` | The total exactly-one population is | ```text | N_1(B)=N_ab(B)+N_ac(B)+N_bc(B). | ``` | No condition is imposed on whether `D^2` is a perfect square. | ## Separation from the space-diagonal-first track | The two populations can therefore be compared under one common height: | ```text | space-diagonal-first: | D <= B and D is integral | Euler-side E-1: | D <= B with no integrality requirement on D | ``` | This is the canonical E-1a counting convention unless a later task explicitly introduces a different control cutoff. | ## Next | `E-1b`: enum	SR-STR-001:3.75:Primitive canonical cuboid population convention; SR-STR-039:3.27:Stage14 integral-space exactly-two half-power upper theorem; SR-STR-055:3.21:Literal exactly-two-face space-diagonal subset contract; SR-STR-141:3.12:Exactly-one-face ambient population order and Pythagorean scale mechanism; SR-STR-227:3.02:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-181:2.95:Primitive physical two-face gluing and compact conjugate-gap chart; SR-STR-142:2.80:Ambient integral-space-diagonal cuboid asymptotic and zero-face dominance; SR-STR-038:2.80:Raw-pair face-incidence graph identity
SRC-83EB3E54E2E1	stages/euler-cuboid/E-1b/result.md	RESULT	RESEARCH_RESULT	# E-1b — first exactly-one population profile | > **STATUS:** `E_1B_COMPLETE_FINITE_ENUMERATION` | > | > **COUNTING:** primitive canonical `0<a<b<c` | > | > **CUTOFF:** `a^2+b^2+c^2 <= B^2` | > | > **SPACE-DIAGONAL INTEGRALITY:** not required | E-1b enumerates all three exactly-one populations under the E-1a convention: | ```text | N_ab(B), N_ac(B), N_bc(B). | ``` | The implementation generates Pythagorean face incidences rather than scanning all integer triples, counts primitive third-edge choices exactly, and removes two-face / three-face overlaps by inclusion-exclusion. | ## Finite population table | | B | N_ab | N_ac | N_bc | N_1 | ab/bc | ac/bc | | |---:|---:|---:|---:|---:|---:|---:| | | 100 | 1,240 | 545 | 835 | 2,620 | 1.485030 | 0.652695 | | | 200 | 6,166 | 2,690 | 3,808 | 12,664 | 1.619223 | 0.706408 | | | 500 | 48,141 | 21,585 | 27,979 | 97,705 | 1.720612 | 0.771471 | | | 1,000 | 221,249 | 99,887 | 123,839 | 444,975 | 1.786586 | 0.806588 | | | 2,000 | 999,707 | 453,195 | 544,961 | 1,997,863 | 1.834456 | 0.831610 | | | 5,000 | 7,188,977 | 3,267,168 | 3,798,731 | 14,254,876 | 1.892468 | 0.860068 | | | 10,000 | 31,593,274 | 14,373,282 | 16,389,285 | 62,355,841 | 1.927679 | 0.876993 | | At the largest audited cutoff, | ```text | N_ab : N_ac : N_bc | = 31,593,274 : 14,373,282 : 16,389,285 | ≈ 1.927679 : 0.876993 : 1. | ``` | The normalized population vector is | ```text | (ab, ac, bc) | ≈ (0.5066610, 0.2305042, 0.2628348). | ``` | ## Overlap ledger at B=10,000 | Raw face incidences are | ```text | A_ab = 31,623,954 | A_ac = 14,396,768 | A_bc = 16,418,505 | ``` | with pair overlaps | ```text | O_ab_ac = 12,482 | O_ab_bc = 18,216 | O_ac_bc = 11,022 | ``` | and triple overlap | ```text | T = 18. | ``` | The exactly-one populations therefore satisfy exactly | ```text 	SR-STR-001:3.34:Primitive canonical cuboid population convention; SR-STR-227:2.77:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-039:2.65:Stage14 integral-space exactly-two half-power upper theorem; SR-STR-055:2.65:Literal exactly-two-face space-diagonal subset contract; SR-STR-146:2.56:Current certified Euler-cuboid global envelope with unresolved true exponent; SR-STR-033:2.56:Mod-7 two-parameter exactly-one-face family; SR-STR-141:2.50:Exactly-one-face ambient population order and Pythagorean scale mechanism; SR-STR-006:2.46:Space-diagonal two-face versus one-face zero-density transition
SRC-FE2FCDC3FA2D	stages/euler-cuboid/E-1c/result.md	RESULT	RESEARCH_RESULT	# E-1c — cutoff scaling and directional-ratio analysis | > **STATUS:** `E_1C_COMPLETE_AT_FINITE_SCALING_DIAGNOSTIC_LEVEL` | > | > **COUNTING:** primitive canonical `0<a<b<c`, common geometric cutoff `a^2+b^2+c^2<=B^2` | > | > **SPACE DIAGONAL:** integrality not required | E-1c extends the E-1b exactly-one population profile from `B=10,000` to `B=500,000` and tests whether the apparent `2:1:1` shape persists. | ## 1. Extended population table | | B | N_ab | N_ac | N_bc | ab/bc | ac/bc | | |---:|---:|---:|---:|---:|---:| | | 10,000 | 31,593,274 | 14,373,282 | 16,389,285 | 1.927679 | 0.876993 | | | 20,000 | 137,675,586 | 62,698,520 | 70,266,959 | 1.959322 | 0.892290 | | | 50,000 | 953,782,022 | 434,710,270 | 477,608,567 | 1.996995 | 0.910181 | | | 100,000 | 4,097,242,942 | 1,868,209,055 | 2,026,452,228 | 2.021880 | 0.921911 | | | 200,000 | 17,516,747,856 | 7,990,469,902 | 8,569,465,813 | 2.044089 | 0.932435 | | | 500,000 | 118,791,437,295 | 54,216,622,276 | 57,394,634,228 | 2.069731 | 0.944629 | | At the largest cutoff, | ```text | N_ab:N_ac:N_bc | ≈ 2.069731 : 0.944629 : 1. | ``` | The normalized vector is approximately | ```text | (0.5155818, 0.2353124, 0.2491057). | ``` | ## 2. The finite `2:1:1` picture bends rather than stops | The leading ratio does not approach `2` from below and then settle there. It is | ```text | ab/bc = 1.996995... at B=50,000 | ab/bc = 2.021880... at B=100,000 | ``` | so it crosses `2` between these sampled cutoffs and continues upward to `2.069731...` by `B=500,000`. | The secondary ratio remains below `1` throughout the audited range, | ```text | ac/bc = 0.944629... at B=500,000, | ``` | but it continues to increase. | Therefore E-1c rejects the naive finite interpretation that the ratios simply converge to `2:1:1` from the observed side. No 	SR-STR-227:2.77:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-001:2.50:Primitive canonical cuboid population convention; SR-STR-148:2.27:One-face conditioning logarithmically enhances space-diagonal survival over the ambient space baseline; SR-STR-055:2.27:Literal exactly-two-face space-diagonal subset contract; SR-STR-039:2.25:Stage14 integral-space exactly-two half-power upper theorem; SR-STR-142:2.21:Ambient integral-space-diagonal cuboid asymptotic and zero-face dominance; SR-STR-076:2.08:Matched finite M2-M3 completion panel; SR-STR-141:2.03:Exactly-one-face ambient population order and Pythagorean scale mechanism
