sid	path	kind	role	preview	top_cards	basename_neighbors
SRC-5D407CD0A39E	stages/stage12/archive/docs/stage12-n1-2-repair-status-r01.md	SUPPORTING_MATH_DOC		# Stage12-N1-2 repair status after full audit R01 | > **STATUS:** `ALL_R01_REPAIRS_COMPLETE_PENDING_INDEPENDENT_REAUDIT` | > | > **AUDIT_DATE:** `2026-08-07` | > | > **AUDIT_COUNTS:** `FATAL=0, MAJOR=4, MINOR=2, CLARIFICATION=1` | > | > **RESOLVED_AFTER_AUDIT:** `MAJOR-01, MAJOR-02, MAJOR-03, MAJOR-04, CLARIFICATION-01, MINOR-01, MINOR-02` | > | > **OPEN_MAJOR:** `NONE` | > | > **THEOREM_STATUS:** `REPAIRED_CANDIDATE_PENDING_INDEPENDENT_REAUDIT` | ## 1. 現在の判断 | 独立監査R01の全指摘に対する修復文書と自己完結bundleを作成した。 | 候補漸近式は | \[ | C_{\rm prim}(B) | \sim | \frac{\kappa}{12\pi}B(\log B)^3. | \] | ただし、対象はStage12-N1-3d definition sheetで定義したprimitive oriented countに限る。独立再監査が `CLOSED` を返すまで、project-wideには `proved`, `FINAL_COMPLETE`, `CLOSED` と呼ばない。 | ## 2. Repair ledger | ### MAJOR-01 — rectangular error exponent | **状態:** `CLOSED_BY_STAGE12_N1_3A` | 旧2pの不成立な | 	SR-STR-004:1.57:Space-diagonal one-face transition asymptotic; SR-STR-226:1.53:Primitive oriented integral-space one-face incidence asymptotic; SR-STR-005:1.46:No-space one-face to two-face transition asymptotic; SR-STR-227:1.26:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-143:1.17:Exactly-two-face ambient asymptotic and cubic-host thinning law; SR-STR-146:1.15:Current certified Euler-cuboid global envelope with unresolved true exponent	SRC-F8BDFF1C677B|stages/stage12/archive/docs/stage12-n1-2-final-r08-self-contained.md|SR-STR-226; SRC-C0ECFA1DE2CE|stages/stage12/archive/docs/stage12-n1-2-final-r07-self-contained.md|SR-STR-226; SRC-7522A92BE1DD|stages/stage12/archive/docs/stage12-n1-2-final-r03.md|SR-STR-226; SRC-5734043C488C|stages/stage12/archive/docs/stage12-n1-2-final-r02.md|SR-STR-226
SRC-8E3D4EACD55B	stages/stage12/archive/docs/stage12-n1-2b-average.md	SUPPORTING_MATH_DOC		# Stage12-N1-2b：乗法重みの共有素因子補正 | Stage12-N1-2 の双曲線座標 | \[ | C_{\mathrm{raw}}(B)= | \sum_{\substack{h\ge1,\ 1\le r<s,\ (r,s)=1\\ | h(r^2+s^2)\le2B\\ | h(r^2+s^2)\equiv0\ (2)}} | \bigl(G(hrs)-1\bigr) | \] | に対し、\(G(hrs)\) の分離障害を局所補正へ縮約する。 | \[ | G(n)=\prod_{q\mid n,\ q\equiv1\ (4)}(2v_q(n)+1) | \] | とし、\((r,s)=1\) を用いる。\(t=rs\) と置けば、厳密に | \[ | \boxed{ | G(ht)=G(h)G(r)G(s)K(h,t) | } | \] | であり、補正因子は | \[ | K(h,t)= | \prod_{\substack{q\equiv1\ (4)\\q\mid\gcd(h,t)}} | \frac{2(v_q(h)+v_q(t))+1} | {(2v_q(h)+1)(2v_q(t)+1)}. | \] | したがって \(0<K\le1\) で、\(K=1\) は \(1\pmod4\) の素数が \(h\) と \(rs\) に共有されない場合に一致する。共有される素数が 2 または \(3\pmod4\) のみなら \(G\) には影響しない。 | 有限監査では \(B\le20{,}000\) の全閾値でこの分解を検証し、Stage11 の raw 畳み込み値を完全再現した。有限割合を漸近密度とは解釈しない。 | 解析上は、非分離性が明示的な Euler 局所因子 \(K\) に隔離された。次に必要なのは、二次高さ領域上の積重み \(G(h)G(r)G(s)\) の平均、\(1\pmod4\) 共有素因子による補正損失の総和評価、およ	SR-STR-195:1.21:Squarefree j=1728 twist compression of the joint physical squareclasses; SR-STR-077:1.20:Explicit one-parameter Saunderson coefficient floor; SR-STR-056:1.15:Parameter-mass versus physical-height lower-family exponent calculus; SR-STR-227:1.13:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-066:1.13:Reduced tau height bound and height-only support no-go; SR-STR-156:1.08:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate	
SRC-2C93C02DE22E	stages/stage12/archive/docs/stage12-n1-2c-gao-zhao.md	SUPPORTING_MATH_DOC		# Stage12-N1-2c：Gao–Zhao型との対応検証 | ## 判定 | Gao–Zhao の定理は、今回の共有 $p$ 和へ**直接適用できない**。ただし、証明技法の一部は再利用候補である。 | Gao–Zhao が扱う対象は | $$ | S_N(x)=\sum_{m,n\le x}d(n^2+Nm^2) | $$ | であり、固定された二次形式、box領域、通常の約数関数を対象とする。 | Stage12-N1-2b の対象は | $$ | \sum_{\substack{h(r^2+s^2)\le2B\\r<s,\ (r,s)=1}} | \bigl(G(h)G(r)G(s)K(h,rs)-1\bigr) | $$ | であり、次が追加される。 | - $h$ という可変スケール | - 円領域と順序条件 | - $(r,s)=1$ | - 通常の約数関数ではない重み $G$ | - $h$ と $rs$ の共有 $1\pmod4$ 素数に支えられる補正 $K$ | - 後段のglobal Möbius反転に耐える一様誤差 | 従って、Gao–Zhao の漸近公式を引用するだけではStage12の和は評価できない。 | ## 再利用候補 | - 約数双曲線分解の設計 | - $r^2+s^2$ に対応する二次合同式の根の整理 | - dyadic分割後のlarge sieve・指数和評価 | ## 新たに必要な補題 | 1. $h(r^2+s^2)\le2B$ 上の $G(h)G(r)G(s)$ の重み付き平均 | 2. $K(h,rs)$ の総寄与の一様評価 | 3. coprime・ordered sectorへの制限による誤差評価 | 4. global Möbius反転後にも総和可能な誤差項 | 分類は `B_method_template_relevant_theorem_not_directly_applicable` とする。 | 次は 	SR-STR-063:1.46:Tau pushforward invariant and collision receiver; SR-STR-057:1.46:Toric master space-diagonal receiver on the two-face host; SR-STR-091:1.31:Squarefree-kernel paired-slope residue receiver; SR-STR-033:1.28:Mod-7 two-parameter exactly-one-face family; SR-STR-188:1.20:Uniform adjacent two-cell O(p) transform via Newton-polyhedron and stationary phase; SR-STR-197:1.17:Four-root rank-one difference-kernel lattice and dual-switch residue lock	
SRC-AF10F010572E	stages/stage12/archive/docs/stage12-n1-2d-modular-hyperbola.md	SUPPORTING_MATH_DOC		# Stage12-N1-2d：モジュラー双曲線型評価の一様誤差監査 | ## 判定 | Shparlinski のモジュラー双曲線評価は、今回の共有 \(p\) 和へ**直接適用できない**。局所的な合同条件の処理、Kloosterman 和による完備化、box から正則領域への discrepancy 移行は再利用候補だが、必要な重み付き平均と全法平均の一様誤差は供給しない。 | 対象は | \[ | \sum_{\substack{h(r^2+s^2)\le 2B\\r<s,\ (r,s)=1}} | \left(G(h)G(r)G(s)K(h,rs)-1\right). | \] | Shparlinski の Theorem 13 は、\(\gcd(a,m)=1\) に対するモジュラー双曲線 | \[ | xy\equiv a\pmod m | \] | の区間内点数を | \[ | \frac{\varphi(m)}{m^2}XY+O\!\left(m^{1/2+o(1)}\right) | \] | で評価する。discrepancy を介した四分円領域では誤差が \(O(m^{3/4+o(1)})\) になる。 | ## 適合しない核心 | Stage12 の約数展開から現れる合同条件は | \[ | r^2+s^2\equiv0\pmod m | \] | であり、\((s,m)=1\) の部分では \(t=rs^{-1}\) として | \[ | t^2\equiv-1\pmod m | \] | へ落ちる。これは二次元のモジュラー双曲線全体ではなく、薄い二次合同根の問題である。さらに法 \(m\) は合成数を含み、Theorem 13 は \(G(h)G(r)G(s)\) や \(K(h,rs)\) を伴わない。 | coprime 条件は Möbius 反転で形式的に入れられるが、Stage12 ではその後に primitive 化の global	SR-STR-033:1.49:Mod-7 two-parameter exactly-one-face family; SR-STR-185:1.37:Pairwise gcd support of integral witness factors; SR-STR-197:1.30:Four-root rank-one difference-kernel lattice and dual-switch residue lock; SR-STR-032:1.30:Exact shared-hypotenuse representation convolution; SR-STR-039:1.22:Stage14 integral-space exactly-two half-power upper theorem; SR-STR-188:1.20:Uniform adjacent two-cell O(p) transform via Newton-polyhedron and stationary phase	
SRC-2345EA6B6F71	stages/stage12/archive/docs/stage12-n1-2e-divisor-dyadic.md	SUPPORTING_MATH_DOC		# Stage12-N1-2e：G の約数指示関数展開と dyadic 法範囲 | ## 結論 | Stage12-N1-2d では、約数展開後に二次合同根 | \[ | t^2\equiv-1\pmod m | \] | を扱う可能性を候補として残した。しかし、\(G\) を三変数に対して正確に Möbius 反転すると、少なくとも \(G\) 本体についてはこの経路を通る必要がない。 | \[ | G(n)=\prod_{q\equiv1\pmod4}(2v_q(n)+1) | \] | に対し、 | \[ | \lambda_1(d)= | \begin{cases} | 2^{\omega(d)},& d\text{ の全素因数が }1\pmod4,\\ | 0,&\text{それ以外} | \end{cases} | \] | ただし \(\lambda_1(1)=1\) と置くと、厳密に | \[ | G(n)=\sum_{d\mid n}\lambda_1(d) | \] | となる。 | さらに三変数では | \[ | G(hrs)= | \sum_{\substack{a\mid h,\ b\mid r,\ c\mid s\\ | (a,b)=(a,c)=(b,c)=1}} | \lambda_1(a)\lambda_1(b)\lambda_1(c). | \] | これは上界ではなく厳密な恒等式である。各 \(q\equiv1\pmod4\) について、指数を \(a,b,c\) のうち高々一つへ割り当てる項だけが係数2を持ち、二つ以上へ同時に割り当てる混合差分は0になる。 | したがって、Stage12-N1-2b の共有素因子補正 \(K(h,rs)\) は、三つの約数法 \(a,b,c\) を互いに素とする条件へ正確に吸収できる。 | ## exact raw 和の書き換え | 双曲線領域を | \[ | \mathcal D_B=\left\{	SR-STR-069:1.49:Reduced tau core-scale decomposition; SR-STR-033:1.49:Mod-7 two-parameter exactly-one-face family; SR-STR-039:1.43:Stage14 integral-space exactly-two half-power upper theorem; SR-STR-227:1.39:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-063:1.25:Tau pushforward invariant and collision receiver; SR-STR-057:1.25:Toric master space-diagonal receiver on the two-face host	
SRC-471795D6D21E	stages/stage12/archive/docs/stage12-n1-2f-main-term.md	SUPPORTING_MATH_DOC		# Stage12-N1-2f：体積・局所密度主項、対数次数、repeated-side寄与 | ## 判定 | Stage12-N1-2e の三法展開から、固定法ごとの体積・局所密度係数、形式的な対数次数、repeated-side寄与を確定した。 | 確定した構造は次の通りである。 | - 固定法 \((a,b,c)\) の主項係数は明示できる | - 三法和のEuler積は \(s=1\) で3位の極を持つ | - raw oriented count の形式的主項は \(B(\log B)^4\) | - global Möbius反転後のprimitive oriented count は形式的に \(B(\log B)^3\) | - repeated-side contribution は全高さで恒等的に0 | ただし、固定法格子点数の一様誤差が未証明なので、以下は**主項構造の確定**であり、漸近式そのものの証明ではない。 | ## 1. 固定法の体積と局所密度 | Stage12-N1-2e の厳密展開では | \[ | G(hrs)= | \sum_{\substack{a\mid h,\ b\mid r,\ c\mid s\\ | (a,b)=(a,c)=(b,c)=1}} | \lambda_1(a)\lambda_1(b)\lambda_1(c) | \] | であり、\(a,b,c\) はすべて \(1\pmod4\) 素数だけに支えられるため奇数である。 | 固定した \((a,b,c)\) に対し | \[ | h=au,\qquad r=bv,\qquad s=cw | \] | と置く。奇素数 \(p\) におけるcoprime密度は次の通り。 | - \(p\nmid bc\)：\(1-p^{-2}\) | - \(p^e\Vert b\)：\(p^{-e}(1-p^{-1})\) | - \(p^e\Vert c\)：\(p^{-e	SR-STR-033:1.71:Mod-7 two-parameter exactly-one-face family; SR-STR-227:1.64:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-002:1.49:Saunderson parametrization of primitive Euler bricks; SR-STR-005:1.46:No-space one-face to two-face transition asymptotic; SR-STR-039:1.43:Stage14 integral-space exactly-two half-power upper theorem; SR-STR-077:1.40:Explicit one-parameter Saunderson coefficient floor	
SRC-997B8B77F3A6	stages/stage12/archive/docs/stage12-n1-2g-uniform-error.md	SUPPORTING_MATH_DOC		# Stage12-N1-2g：geometry-of-numbers・Möbius分解・平均誤差の一様性監査 | ## 判定 | 通常の geometry-of-numbers と、三つの coprime 条件に対する Möbius 分解を点ごとに適用し、誤差を絶対値で加算する方法だけでは、Stage12-N1-2f の形式的主項を漸近式へ昇格できない。 | 分類は | ```text | B_pointwise_geometry_of_numbers_not_sufficient_averaged_anisotropic_input_required | ``` | とする。 | ## 1. 固定法格子点問題 | Stage12-N1-2e の変数変換 | \[ | h=au,\qquad r=bv,\qquad s=cw | \] | 後、固定された pairwise-coprime な法 \((a,b,c)\) に対して数える対象は | \[ | au\bigl(b^2v^2+c^2w^2\bigr)\le 2B, | \qquad bv<cw, | \] | および | \[ | (v,w)=1,\qquad (v,c)=1,\qquad (w,b)=1 | \] | と偶奇条件を満たす格子点である。 | 固定 \(u\) で | \[ | T_u=\sqrt{\frac{2B}{au}} | \] | と置くと、楕円の半軸はおよそ | \[ | X_u=\frac{T_u}{b},\qquad Y_u=\frac{T_u}{c} | \] | である。ordinary lattice points に対する Lipschitz principle または definable-family の lattice-counting theorem は、面積主項に加えて | \[ | O(X_u+Y_u+1) | \] | 型の境界誤差を与える候補となる。Barroe	SR-STR-002:1.86:Saunderson parametrization of primitive Euler bricks; SR-STR-033:1.71:Mod-7 two-parameter exactly-one-face family; SR-STR-085:1.57:Cross-gcd primitive-scale factorization and physical diagonal product; SR-STR-039:1.43:Stage14 integral-space exactly-two half-power upper theorem; SR-STR-012:1.37:Uniform elliptic finite-fiber degree bridge; SR-STR-155:1.36:Fixed rational-curve sub-square-root ceiling and moving-family gate	
SRC-C915B41D4554	stages/stage12/archive/docs/stage12-n1-2h-poisson-split.md	SUPPORTING_MATH_DOC		# Stage12-N1-2h：small/large modulus・eccentricity分割とPoisson監査 | ## 判定 | Stage12-N1-2g で障害になった「増大する楕円の eccentricity」は、偶奇条件と二つの局所 coprimality 条件を **Poisson summation の前に周期関数として統合する**ことで、二次元 core では除去できる。 | ただし、Poisson 後に得られる位相は古典的な Kloosterman sum ではなく、 | \[ | e\!\left( | \pm | \frac{C\sqrt{k^2+\ell^2}} | {bcd\sqrt{u}} | \right) | \] | 型の Ramanujan 重み付き nonlinear reciprocal phase である。通常の additive spacing が直接働く領域は形式的主項の \(9/32\) に限られ、残る \(15/32\) の clustered core と \(1/4\) の one-dimensional wing には新しい平均評価が必要である。 | 分類は | ```text | C_poisson_isotropization_succeeds_hybrid_spacing_only_partial | ``` | とする。 | ## 1. 出発点 | Stage12-N1-2e 以降の固定法表示は | \[ | h=au,\qquad r=bv,\qquad s=cw | \] | であり、\(a,b,c\) は奇数、pairwise coprime、素因数は \(1\bmod 4\) に限られる。領域は | \[ | au\bigl((bv)^2+(cw)^2\bigr)\le 2B, | \qquad bv<cw, | \] | 条件は | \[ | (v,w)=1,\qquad (v,c)=1,	SR-STR-085:1.57:Cross-gcd primitive-scale factorization and physical diagonal product; SR-STR-198:1.56:Balanced Gaussian square-divisor common-core compression with CRT line rigidity; SR-STR-033:1.49:Mod-7 two-parameter exactly-one-face family; SR-STR-002:1.49:Saunderson parametrization of primitive Euler bricks; SR-STR-016:1.39:Mixed-parity C17 genus-one lower family; SR-STR-188:1.31:Uniform adjacent two-cell O(p) transform via Newton-polyhedron and stationary phase	
SRC-C1B7118CBC59	stages/stage12/archive/docs/stage12-n1-2i-exponent-budget.md	SUPPORTING_MATH_DOC		# Stage12-N1-2i：15/32 clustered core と 1/4 wing の指数予算監査 | ## 結論 | Stage12-N1-2h で未処理だった | - `15/32` の clustered two-dimensional core | - `1/4` の one-dimensional eccentric wing | は、**保持した deep・nonterminal・small-visibility-divisor 領域に限れば、古典的な指数対 `(1/6,2/3)` と Ramanujan 和の厳密な約数展開で必要誤差へ届く構造**になっている。 | 分類は | ```text | A_retained_core_and_wing_close_boundary_layers_remain | ``` | とする。 | ただし、raw または primitive の漸近式そのものはまだ証明していない。真の残課題は、Stage12-N1-2h で誤差として切り捨てた shallow-height 層と terminal-u 層である。 | ## 1. Ramanujan 和で重要なのは二乗平均だけではない | Ramanujan 和には厳密な恒等式 | \[ | c_q(n)=\sum_{r\mid(q,n)}r\mu(q/r) | \] | がある。従って | \[ | |c_q(n)|\le(q,n) | \] | であり、さらに | \[ | \sum_{n\bmod q}|c_q(n)|^2=q\varphi(q) | \] | が成り立つ。 | 有限区間については、約数展開を絶対値で足すだけで | \[ | \sum_{1\le n\le K}|c_q(n)| | \le K\,2^{\omega(q)} | \] | を得る。 | 今回の核心は、係数が大きい場合には必ずその大きさを生む約数 `r` が周波数 `n` を割るこ	SR-STR-033:1.49:Mod-7 two-parameter exactly-one-face family; SR-STR-005:1.46:No-space one-face to two-face transition asymptotic; SR-STR-084:1.37:Exact normalized physical-height identity with primitive scale retained; SR-STR-028:1.29:Core-wing-shallow boundary separation; SR-STR-077:1.20:Explicit one-parameter Saunderson coefficient floor; SR-STR-056:1.15:Parameter-mass versus physical-height lower-family exponent calculus	
SRC-C3539FF8A82C	stages/stage12/archive/docs/stage12-n1-2j-boundary-layers.md	SUPPORTING_MATH_DOC		# Stage12-N1-2j：primitive-first Möbius と boundary layer 監査 | ## 判定 | Stage12-N1-2i で残った shallow-height 層と terminal-u 層は、global Möbius 反転を最後に絶対値で処理する順序をやめ、最初に `h` 方向へ畳み込むことで構造的に解消できる。 | 分類は | ```text | A_primitive_first_boundary_layers_close_uniform_average_remainder_open | ``` | とする。 | primitive N1 漸近式そのものはまだ主張しない。残る課題は、固定 `(r,s)` の部分和に対する averaged uniform remainder と、二法 `beta` 重みでの最終的な平滑化・endpoint bookkeeping である。 | ## 1. global Möbius を切断前に移す | raw oriented count の重みは | \[ | G(hrs)-1 | \] | であり、global primitive count は厳密に | \[ | C_{\rm prim}(B) | = | \sum_{k\le B}\mu(k) | C_{\rm raw}(\lfloor B/k\rfloor) | \] | である。 | ここで dyadic 分割、shallow cut、terminal-u cut を行う前に | \[ | n=kh | \] | と置き換える。 | 固定された coprime pair `(r,s)` に対して | \[ | A_{r,s}(m) | = | \sum_{k\mid m} | \mu(k)\{G((m/k)rs)-1\} | \] | を定義する。 | ### 1.1 `r,s` がともに奇数 | この場合 | \[ | 	SR-STR-033:1.49:Mod-7 two-parameter exactly-one-face family; SR-STR-013:1.38:Primitive-first Möbius reindexing; SR-STR-072:1.24:Dyadic tau-height/core restart contract; SR-STR-091:1.09:Squarefree-kernel paired-slope residue receiver; SR-STR-188:1.08:Uniform adjacent two-cell O(p) transform via Newton-polyhedron and stationary phase; SR-STR-178:1.04:Euclid five-column squarefree-kernel routing and local Hilbert adapter	
