source_id	path	heading	flags	top_candidates
SRC-0EF6D64F83E1	stages/stage15/15-6bs/result.md	# Stage15-6bs — codimension-two multiplicative-sieve gate	Base: Stage15-6br. Audit verdict: NEW_GATE. | STAGE15_6BS_AUDIT_VERDICT=NEW_GATE | STAGE15_6BS_CAUSAL_THREE_QUARTERS_PROVED=false | STAGE15_6BS_EXIT=DIMENSION_TWO_SIEVE_OR_UNIVERSAL_TORSOR_CONGRUENCE_THEOREM_GATE	SR-STR-200:20, SR-STR-179:18, SR-STR-159:16, SR-STR-195:16, SR-STR-163:15
SRC-964683EB838A	stages/stage15/15-6bt/result.md	# Stage15-6bt — Selberg/large-sieve theorem-species audit	Base: merged PR #854. Audit verdict: BLOCK. | Thus the general almost-Fano equidistribution framework only supplies qualitative/little-o sieving, while the explicit quadric Selberg theorem cannot be imported. | STAGE15_6BT_AUDIT_VERDICT=BLOCK | STAGE15_6BT_QUANTITATIVE_SELBERG_THEOREM_APPLICABLE=false	SR-STR-163:18, SR-STR-164:16, SR-STR-133:11, SR-STR-175:11, SR-STR-102:10
SRC-C9119BDEE92A	stages/stage15/15-6bu/result.md	# Stage15-6bu — universal-torsor elementary lattice audit	Audit verdict: BLOCK. | STAGE15_6BU_AUDIT_VERDICT=BLOCK | STAGE15_6BU_ELEMENTARY_B_OVER_Q_PROVED=false | STAGE15_6BU_EXIT=STAGE14_DISPERSION_CROSS_PROMOTION_AUDIT_READY	SR-STR-200:25, SR-STR-044:21, SR-STR-151:19, SR-STR-219:18, SR-STR-162:17
SRC-FFC103F0AA1E	stages/stage15/15-6bv/result.md	# Stage15-6bv — Stage14 dispersion cross-promotion audit	Audit verdict: BLOCK. | Stage14-tH21 and tH22 already audited the relevant DFI/Kuznetsov/spectral/character large-sieve families after much stronger fixed-packet reductions. Both freeze `OFF_THE_SHELF_*_POWER_SAVING_PROVED=false` and their live kernels are fixed-U/fixed-tag projective-character packets, not the Stage15 whole-family moving actual core q. | STAGE15_6BV_AUDIT_VERDICT=BLOCK | STAGE15_6BV_OFF_THE_SHELF_DI	SR-STR-169:18, SR-STR-222:16, SR-STR-151:12, SR-STR-225:11, SR-STR-200:10
SRC-3ACC81840AAF	stages/stage15/15-6bw/result.md	# Stage15-6bw — channel-gcd majorant reduction	STAGE15_6BW_AUDIT_VERDICT=PASS | STAGE15_6BW_GCD_PRODUCT_FIRST_MOMENT_PROVED=false | STAGE15_6BW_EXIT=CHANNEL_GCD_PRODUCT_FIRST_MOMENT_AUDIT_READY	SR-STR-200:16, SR-STR-202:12, SR-STR-162:11, SR-STR-163:10, SR-STR-219:10
SRC-A1D3687D88CC	stages/stage15/15-6bx/result.md	# Stage15-6bx — channel-gcd product first-moment theorem gate	Audit verdict: NEW_GATE. | STAGE15_6BX_AUDIT_VERDICT=NEW_GATE | STAGE15_6BX_CAUSAL_THREE_QUARTERS_PROVED=false | STAGE15_6BX_EXIT=PHYSICAL_CHANNEL_GCD_PRODUCT_FIRST_MOMENT_THEOREM_GATE	SR-STR-163:19, SR-STR-200:17, SR-STR-215:17, SR-STR-223:15, SR-STR-140:14
SRC-BB23CB506599	stages/stage15/15-6by/result.md	# Stage15-6by — channel-gcd product divisor expansion	STAGE15_6BY_FIRST_MOMENT_PROVED=false | STAGE15_6BY_EXIT=WEIGHTED_MODULUS_SUM_AUDIT_READY	SR-STR-200:16, SR-STR-085:14, SR-STR-173:13, SR-STR-184:12, SR-STR-190:12
SRC-B9BB1930D349	stages/stage15/15-6bz/result.md	# Stage15-6bz — weighted modulus summation audit	STAGE15_6BZ_EXIT=STRUCTURAL_GCD_PRODUCT_HEIGHT_SEARCH_READY	SR-STR-222:26, SR-STR-169:23, SR-STR-162:19, SR-STR-151:18, SR-STR-187:18
SRC-D307BC478E52	stages/stage15/15-6ca/result.md	# Stage15-6ca — structural channel-gcd / physical-height gate	STAGE15_6CA_EXIT=FRESH_AUDIT_OF_PHYSICAL_GCD_PRODUCT_MOMENT_GATE	SR-STR-222:21, SR-STR-163:17, SR-STR-223:17, SR-STR-151:13, SR-STR-215:13
SRC-827F1B7F4DBE	stages/stage15/15-6cb/result.md	# Stage15-6cb — exploration-safety protocol repair	CANDIDATE_LEDGER_CLASSES=LIVE,UNTESTED,EQUIVALENT,DOMINATED,BLOCKED | STAGE15_6CB_EXIT=BLIND_REDISCOVERY_READY	SR-STR-163:13, SR-STR-206:12, SR-STR-222:12, SR-STR-164:11, SR-STR-169:11
