source_id	path	heading	flags	top_candidates
SRC-D9EE2064D457	stages/stage15/15-6ea/result.md	# Stage15-6ea — AR-035 ordered-limit verdict, causal zero density, and fixed-power negative certificate	# Stage15-6ea — AR-035 ordered-limit verdict, causal zero density, and fixed-power negative certificate | This is stronger than the present lack of uniformity: **the exact local densities themselves rule out a fixed-power gain from tensoring one exact squareclass-parity filter per distinct prime in a polynomial-sized prime block.** | This is a mechanism-specific negative certificate, not an impossibility theorem for all future global arguments. | | `k>1` Pell/unit orbit | current-input negative certified | | | orientation-blind pair resultant | current-input negative certified |	SR-STR-222:88, SR-STR-187:76, SR-STR-145:64, SR-STR-147:48, SR-STR-216:44
SRC-0D2F4CCF0395	stages/stage15/15-7-controller.json	{	"ALL_PRIOR_CHECKS_PASS", | "negative knowledge and non-claims", | "PASS": "No load-bearing Stage15-7 gap found. The current PR may merge if aggregate verification also passes.", | "BLOCKED": "A missing dependency or external theorem prevents a justified final verdict/bundle. State the exact blocker and do not close Stage15-7." | "AUDIT_VERDICT=PASS|FIX_REQUIRED|BLOCKED",	SR-STR-222:52, SR-STR-097:40, SR-STR-129:28, SR-STR-169:28, SR-STR-187:28
SRC-7855F3D49DF0	stages/stage15/15-7a/result.md	# Stage15-7a — theorem-species separation and final claims matrix	STAGE15_7A_EXIT=POPULATION_CUTOFF_AND_PROVENANCE_LOCK	SR-STR-222:70, SR-STR-187:47, SR-STR-148:45, SR-STR-152:40, SR-STR-145:38
SRC-A52AB4C334D3	stages/stage15/15-7b/result.md	# Stage15-7b — population, cutoff, measure, and provenance lock	STAGE15_7B_EXIT=FINAL_BUNDLE_R01_AND_MANIFEST	SR-STR-216:68, SR-STR-141:62, SR-STR-143:61, SR-STR-222:49, SR-STR-206:45
SRC-705BD2A82D40	stages/stage15/15-7c/result.md	# Stage15-7c — R01 final verdict bundle and audit handoff	- records finite evidence, external theorem interfaces, negative knowledge, future gates, and perfect-cuboid non-claims. | PASS. Quantitative and causal proofs are written as separate implication chains. | PASS. Both numerator and denominator use primitive canonical exactly-two objects; on the survivor population `R=d`, so `R<=B` and `d<=B` coincide exactly. | PASS at the synthesis level. The Stage15-6 fixed-finite-set asymptotic is stated with `S` fixed before `B->infinity`; the growing-prime step occurs only after that limit. No growing-modulus rate is claimed. | PASS. The manifest separates internal geometry from the Batyrev--Tschinkel, Huang, and Browning--Loughran interfaces inherited from Stage15-2b, and separately identifies Stage14 Theorem 2.1 as the quantitative numerator source.	SR-STR-206:31, SR-STR-165:28, SR-STR-223:23, SR-STR-147:22, SR-STR-187:22
SRC-F1D100323E8F	stages/stage15/15-8-closeout.md	# Stage15-8 closeout — R02 self-contained review freeze	Base: merged PR #888, merge commit `b83dd74be283dc58b3ce5c6862d21e105a9fa3f9`, followed by a fresh Stage15-8 audit PASS. | AUDIT_VERDICT=PASS | STAGE15_8_FRESH_AUDIT=PASS | STAGE15_8_EXIT=CLOSED_R02_FROZEN	SR-STR-222:36, SR-STR-206:23, SR-STR-169:22, SR-STR-208:20, SR-STR-207:15
SRC-EC952FBE4811	stages/stage15/15-8-controller.json	{	"verdict": "PASS", | "fresh_audit_pass": true, | "dedicated_verification_passed_before_merge": true, | "fresh_stage15_8_audit_passed": true,	SR-STR-222:18, SR-STR-206:16, SR-STR-166:12, SR-STR-169:10, SR-STR-207:10
SRC-7F42D9B5C4BB	stages/stage15/15-8-manifest-r02.md	# Stage15-8 self-contained review manifest R02	STAGE15_8_AUDIT_VERDICT=PASS | PR #888 carried the R02 self-containment repair. Dedicated Stage15-8 verification passed on the audited head, and a fresh Stage15-8 audit returned: | AUDIT_VERDICT=PASS	SR-STR-206:38, SR-STR-222:36, SR-STR-169:18, SR-STR-208:18, SR-STR-207:15
SRC-40E89F52E403	stages/stage15/15-8a/result.md	# Stage15-8a — R02 self-containment repair and audit handoff	STAGE15_8A_EXIT=FRESH_AUDIT_OF_R02_SELF_CONTAINED_HTML | ALL_PRIOR_CHECKS_PASS=true	SR-STR-216:30, SR-STR-143:21, SR-STR-219:21, SR-STR-145:18, SR-STR-222:18
SRC-7CE38CB1702B	stages/stage15/README.md	# Stage15-0/1 — comparison interface and paired enumerator	STAGE15_COMPARISON_CONTRACT_PROVED=true	SR-STR-143:59, SR-STR-141:56, SR-STR-142:54, SR-STR-144:47, SR-STR-184:45
SRC-31A1D88CF251	stages/stage15/evidence/stage15_0_1_validation.json	{		SR-STR-061:3, SR-STR-157:2, SR-STR-016:1, SR-STR-030:1, SR-STR-032:1
SRC-DA354D5270C6	stages/stage15/evidence/stage15_2_ambient_growth.json	{		SR-STR-153:13, SR-STR-059:8, SR-STR-179:8, SR-STR-060:7, SR-STR-061:7
SRC-780D1050C53F	stages/stage15/evidence/stage15_3_baseline.json	{	"directional_rate_gate_pass": false, | "global_slope_gate_pass": false,	SR-STR-044:12, SR-STR-081:12, SR-STR-090:12, SR-STR-111:12, SR-STR-116:12
SRC-F08FA7723004	stages/stage15/evidence/stage15_4_normal_form.json	{		SR-STR-184:15, SR-STR-151:14, SR-STR-203:14, SR-STR-206:13, SR-STR-223:13
SRC-2C23CA685018	stages/stage15/evidence/stage15_5_survival_theorem.json	{	"AR-023": "MEASURE_FIREWALL_PASS", | "AR-024": "MEASURE_FIREWALL_PASS", | "AR-028": "NO_DOUBLE_CHARGE_PASS",	SR-STR-146:22, SR-STR-160:21, SR-STR-143:18, SR-STR-149:14, SR-STR-156:13
SRC-A4829212BBEA	stages/stage15/evidence/stage15_6aa_core_adapter.json	{		SR-STR-091:10, SR-STR-202:7, SR-STR-043:4, SR-STR-052:4, SR-STR-098:4
SRC-A38C0C13D57F	stages/stage15/evidence/stage15_6ab_core_charge.json	{	"AR-023": "MEASURE_FIREWALL_PASS", | "AR-024": "MEASURE_FIREWALL_PASS", | "AR-028": "NO_DOUBLE_CHARGE_PASS",	SR-STR-200:15, SR-STR-139:14, SR-STR-189:12, SR-STR-073:10, SR-STR-074:10
SRC-5C2565F6EF1B	stages/stage15/evidence/stage15_6ac_high_low_core.json	{	"AR-023": "MEASURE_FIREWALL_PASS", | "AR-024": "MEASURE_FIREWALL_PASS", | "AR-028": "NO_DOUBLE_CHARGE_PASS",	SR-STR-050:24, SR-STR-181:13, SR-STR-049:12, SR-STR-078:12, SR-STR-085:12
SRC-7C95B296D6A1	stages/stage15/evidence/stage15_6ad_reconstruction.json	{	"AR-023": "MEASURE_FIREWALL_PASS", | "AR-024": "MEASURE_FIREWALL_PASS", | "AR-028": "NO_DOUBLE_CHARGE_PASS",	SR-STR-222:12, SR-STR-138:10, SR-STR-151:10, SR-STR-207:10, SR-STR-225:10
SRC-1BCB3D0B2D5A	stages/stage15/evidence/stage15_6ae_single_square_trigger.json	{	"stage14_s7_48_verdict": "RELATED_KERNEL_DIFFERENT_MEASURE_NEGATIVE_GUIDANCE",	SR-STR-206:9, SR-STR-184:8, SR-STR-202:8, SR-STR-044:6, SR-STR-050:6
SRC-2A70B6AEC891	stages/stage15/evidence/stage15_6af_cross_resultant.json	{		SR-STR-084:4, SR-STR-115:4, SR-STR-116:4, SR-STR-120:4, SR-STR-124:4
SRC-D913CDC6DEFE	stages/stage15/evidence/stage15_6ag_pair_energy.json	{	"AR-028": "NO_DOUBLE_CHARGE_PASS",	SR-STR-130:3, SR-STR-040:2, SR-STR-016:1, SR-STR-112:1, SR-STR-113:1
SRC-ED55E66295B5	stages/stage15/evidence/stage15_6ah_full_common_support.json	{	"AR-028": "NO_FIXED_CORE_OR_PRIVATE_ROOT_RECHARGE_PASS", | "AR-023/024": "PHYSICAL_MEASURE_FIREWALL_PASS",	SR-STR-130:3, SR-STR-016:1, SR-STR-112:1, SR-STR-113:1, SR-STR-114:1
SRC-426184B2A49F	stages/stage15/evidence/stage15_6ai_genus_one_model.json	{		SR-STR-199:4, SR-STR-061:3, SR-STR-130:3, SR-STR-174:3, SR-STR-157:2
SRC-FC0A68529FF6	stages/stage15/evidence/stage15_6aj_height_bridge.json	{		SR-STR-084:7, SR-STR-194:7, SR-STR-216:5, SR-STR-062:4, SR-STR-085:4
SRC-1B12333253F5	stages/stage15/evidence/stage15_6ak_outer_reconstruction.json	{		SR-STR-156:6, SR-STR-016:4, SR-STR-081:4, SR-STR-164:3, SR-STR-177:3
SRC-166CB64BB67B	stages/stage15/evidence/stage15_6al_coordinate_cells.json	{		SR-STR-056:3, SR-STR-085:3, SR-STR-091:3, SR-STR-092:3, SR-STR-094:3
SRC-EF309109F527	stages/stage15/evidence/stage15_6am_coordinate_core_split.json	{		SR-STR-056:6, SR-STR-085:6, SR-STR-091:6, SR-STR-092:6, SR-STR-094:6
SRC-173D3CF48330	stages/stage15/evidence/stage15_6an_isotrivial_quartic.json	{		SR-STR-085:6, SR-STR-146:6, SR-STR-224:6, SR-STR-003:5, SR-STR-223:5
SRC-C480F7EC2F65	stages/stage15/evidence/stage15_6ao_projective_curve_bound.json	{		SR-STR-085:9, SR-STR-146:9, SR-STR-224:9, SR-STR-008:7, SR-STR-002:6
SRC-26257E7C8EB7	stages/stage15/evidence/stage15_6ap_kappa_coupling.json	{		SR-STR-085:9, SR-STR-146:9, SR-STR-224:9, SR-STR-002:6, SR-STR-008:6
SRC-FF92EAD90123	stages/stage15/evidence/stage15_6aq_norm_core_gate.json	{		SR-STR-146:9, SR-STR-162:9, SR-STR-156:7, SR-STR-160:7, SR-STR-115:6
SRC-B3208CAD7798	stages/stage15/evidence/stage15_6ar_twist_adapter.json	{	"audit_verdict": "PASS",	SR-STR-056:9, SR-STR-085:9, SR-STR-091:9, SR-STR-092:9, SR-STR-094:9
