sid	path	top_reviewed_neighbors
SRC-BF09C8BEAE3D	stages/stage10/external-review-synthesis.md	19.4|SRC-1E730EF2F673|stages/stage14/data/14-4/bijection_audit.json|SR-STR-037,SR-STR-181; 18.7|SRC-8FD028900163|stages/stage26/26-10/discovery-ledger.md|SR-STR-075; 18.0|SRC-EFE64D3828F0|stages/stage14/data/14-s1/selmer_interface_audit.json|SR-STR-114; 17.9|SRC-A52AB4C334D3|stages/stage15/15-7b/result.md|SR-STR-001,SR-STR-039,SR-STR-143,SR-STR-145,SR-STR-187,SR-STR-216; 16.6|SRC-931EAC39437C|stages/stage15/evidence/stage15_6bt_sieve_audit.json|SR-STR-017,SR-STR-216
SRC-7C1470298987	stages/stage12-ex/critical-chain.md	29.7|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 28.5|SRC-7ADE1D2AA5AC|docs/stage14-arsenal.md|SR-STR-001,SR-STR-011,SR-STR-012,SR-STR-013,SR-STR-014,SR-STR-019,SR-STR-020,SR-STR-021,SR-STR-022,SR-STR-023,SR-STR-024,SR-STR-025,SR-STR-026,SR-STR-027,SR-STR-028,SR-STR-029,SR-STR-030,SR-STR-031,SR-STR-032,SR-STR-033,SR-STR-034,SR-STR-035,SR-STR-036,SR-STR-037,SR-STR-038,SR-STR-039,SR-STR-040,SR-STR-041,SR-STR-042,SR-STR-043,SR-STR-044,SR-STR-045,SR-STR-046,SR-STR-047,SR-STR-048,SR-STR-049,SR-STR-050,SR-STR-051,SR-STR-052,SR-STR-053,SR-STR-054; 26.6|SRC-1CF992BBEC52|stages/stage14/archive/tasks/14-t2/result.md|SR-STR-032; 26.1|SRC-5B1F34C97D82|stages/stage14/archive/tasks/14-tH14/result.md|SR-STR-165,SR-STR-190,SR-STR-225; 25.7|SRC-7639847D2DF1|stages/stage24/final.md|SR-STR-016,SR-STR-155
SRC-67E3760449EB	stages/stage12-ex/roadmap.md	22.2|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 20.6|SRC-7ADE1D2AA5AC|docs/stage14-arsenal.md|SR-STR-001,SR-STR-011,SR-STR-012,SR-STR-013,SR-STR-014,SR-STR-019,SR-STR-020,SR-STR-021,SR-STR-022,SR-STR-023,SR-STR-024,SR-STR-025,SR-STR-026,SR-STR-027,SR-STR-028,SR-STR-029,SR-STR-030,SR-STR-031,SR-STR-032,SR-STR-033,SR-STR-034,SR-STR-035,SR-STR-036,SR-STR-037,SR-STR-038,SR-STR-039,SR-STR-040,SR-STR-041,SR-STR-042,SR-STR-043,SR-STR-044,SR-STR-045,SR-STR-046,SR-STR-047,SR-STR-048,SR-STR-049,SR-STR-050,SR-STR-051,SR-STR-052,SR-STR-053,SR-STR-054; 20.3|SRC-A10039A24059|stages/stage14/archive/docs/q-research/stage14-q8-cross-domain-transfer-radar.md|SR-STR-161,SR-STR-162,SR-STR-164; 19.6|SRC-F20094751CFB|stages/stage14/archive/docs/q-research/stage14-q4-squareclass-collision-literature.md|SR-STR-164; 19.3|SRC-2C574A4760B0|stages/stage14/archive/tasks/14-s6-00/result.md|SR-STR-162
SRC-E0FCF27286D5	stages/stage12/README.md	47.3|SRC-7CE38CB1702B|stages/stage15/README.md|SR-STR-001,SR-STR-039,SR-STR-144; 45.3|SRC-3E1FDACA4EC9|stages/stage14/data/14-s4c/README.md|SR-STR-217; 40.9|SRC-88BE6A73D6E6|stages/stage14/data/14-num-alpha11-diag10/README.md|SR-STR-034; 19.8|SRC-7C468C9EE2C3|stages/stage17/final.md|SR-STR-004; 19.4|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039
SRC-506BBA15DEC2	stages/stage12/final.md	60.1|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 57.8|SRC-7639847D2DF1|stages/stage24/final.md|SR-STR-016,SR-STR-155; 57.7|SRC-7C468C9EE2C3|stages/stage17/final.md|SR-STR-004; 57.3|SRC-E85B74645065|stages/stage15/final.md|SR-STR-039,SR-STR-143,SR-STR-145,SR-STR-187,SR-STR-216; 56.8|SRC-B0751E43345B|stages/stage20/final.md|SR-STR-146,SR-STR-147
SRC-4D55091C3753	stages/stage12/manifest-r09.md	31.7|SRC-6D6C2B609695|stages/stage15/manifest-r01.md|SR-STR-039,SR-STR-143,SR-STR-145,SR-STR-187,SR-STR-216; 22.8|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 21.1|SRC-7ADE1D2AA5AC|docs/stage14-arsenal.md|SR-STR-001,SR-STR-011,SR-STR-012,SR-STR-013,SR-STR-014,SR-STR-019,SR-STR-020,SR-STR-021,SR-STR-022,SR-STR-023,SR-STR-024,SR-STR-025,SR-STR-026,SR-STR-027,SR-STR-028,SR-STR-029,SR-STR-030,SR-STR-031,SR-STR-032,SR-STR-033,SR-STR-034,SR-STR-035,SR-STR-036,SR-STR-037,SR-STR-038,SR-STR-039,SR-STR-040,SR-STR-041,SR-STR-042,SR-STR-043,SR-STR-044,SR-STR-045,SR-STR-046,SR-STR-047,SR-STR-048,SR-STR-049,SR-STR-050,SR-STR-051,SR-STR-052,SR-STR-053,SR-STR-054; 20.9|SRC-149B14AACEC6|stages/stage14/archive/tasks/14-tH5/result.md|SR-STR-190; 20.6|SRC-3B012BF961D7|stages/stage14/archive/tasks/14-t57/result.md|SR-STR-165,SR-STR-169,SR-STR-225
SRC-43B202788DC8	stages/stage12/post_stage13_publication_plan.md	18.0|SRC-2C574A4760B0|stages/stage14/archive/tasks/14-s6-00/result.md|SR-STR-162; 17.4|SRC-4F9B8FA7B80F|stages/stage14/archive/docs/q-research/stage14-q2-correlated-bilinear-literature.md|SR-STR-161; 16.3|SRC-5E6CF6147566|stages/stage14/archive/tasks/14-tH14/r2.md|SR-STR-165,SR-STR-190,SR-STR-225; 16.1|SRC-356E48AF1706|stages/stage14/archive/tasks/14-tH25/result.md|SR-STR-222; 16.1|SRC-1BAEF7232062|stages/stage14/archive/docs/q-research/stage14-q5-shimada-k3-lattice-refresh.md|SR-STR-155
SRC-99A6201E04B1	stages/stage13/README.md	44.7|SRC-7CE38CB1702B|stages/stage15/README.md|SR-STR-001,SR-STR-039,SR-STR-144; 39.0|SRC-88BE6A73D6E6|stages/stage14/data/14-num-alpha11-diag10/README.md|SR-STR-034; 38.5|SRC-3E1FDACA4EC9|stages/stage14/data/14-s4c/README.md|SR-STR-217; 13.8|SRC-2FD99B832F30|stages/stage14/archive/tasks/14-AM1/result.md|SR-STR-167; 13.0|SRC-F30917B4BF13|stages/stage14/archive/tasks/14-t143/result.md|SR-STR-222
SRC-1FC4EE10022E	stages/stage13/data/13-13fr/README.md	46.7|SRC-7CE38CB1702B|stages/stage15/README.md|SR-STR-001,SR-STR-039,SR-STR-144; 45.7|SRC-88BE6A73D6E6|stages/stage14/data/14-num-alpha11-diag10/README.md|SR-STR-034; 39.6|SRC-3E1FDACA4EC9|stages/stage14/data/14-s4c/README.md|SR-STR-217; 18.7|SRC-6DD9E1D914B2|stages/stage14/archive/tasks/14-tH1/result.md|SR-STR-165; 17.3|SRC-7ADE1D2AA5AC|docs/stage14-arsenal.md|SR-STR-001,SR-STR-011,SR-STR-012,SR-STR-013,SR-STR-014,SR-STR-019,SR-STR-020,SR-STR-021,SR-STR-022,SR-STR-023,SR-STR-024,SR-STR-025,SR-STR-026,SR-STR-027,SR-STR-028,SR-STR-029,SR-STR-030,SR-STR-031,SR-STR-032,SR-STR-033,SR-STR-034,SR-STR-035,SR-STR-036,SR-STR-037,SR-STR-038,SR-STR-039,SR-STR-040,SR-STR-041,SR-STR-042,SR-STR-043,SR-STR-044,SR-STR-045,SR-STR-046,SR-STR-047,SR-STR-048,SR-STR-049,SR-STR-050,SR-STR-051,SR-STR-052,SR-STR-053,SR-STR-054
SRC-5AF47D4B840C	stages/stage13/final.md	65.0|SRC-E85B74645065|stages/stage15/final.md|SR-STR-039,SR-STR-143,SR-STR-145,SR-STR-187,SR-STR-216; 64.7|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 61.1|SRC-7639847D2DF1|stages/stage24/final.md|SR-STR-016,SR-STR-155; 60.1|SRC-34BDCCA69623|stages/stage21/final.md|SR-STR-004; 59.7|SRC-7C468C9EE2C3|stages/stage17/final.md|SR-STR-004
