id	name	object
SR-STR-004	Space-diagonal one-face transition asymptotic	For matched primitive canonical R<=B populations, N1(B)/M1(B)~(kappa*pi/18)(log B)^2/B.
SR-STR-005	No-space one-face to two-face transition asymptotic	For matched primitive canonical R<=B populations, M2(B)/M1(B)~(4*pi^2*C_M2/3)(log B)^4/B.
SR-STR-006	Space-diagonal two-face versus one-face zero-density transition	For matched primitive canonical space-diagonal populations under R<=B, N2(B)/N1(B)->0.
SR-STR-010	Multiplicity-three Euler-completion proportion on raw face-pair incidences	P_j=M2,j+M3, P=M2+3M3, Theta_j=M3/P_j and Theta=3M3/(M2+3M3). For every fixed eta<1/46, B^(-5/6)(log B)^(-5) << Theta_j,Theta <<_eta (log B)^(-eta), so the literal same-measure completion proportions tend to zero; moreover Theta_j/Theta_k -> C_k/C_j. The adjacent-stratum object ratio M3/M2 is not a conditional probability.
SR-STR-013	Primitive-first Möbius reindexing	Insert common-scale Möbius inversion before truncation so primitive coefficients and boundary layers use natural variables.
SR-STR-015	R504 elliptic base-change exceptional Prym locus gate	In audited R504, rank E_F(Q(k))=1 with primitive generator P and the original 3P family has Theta(B^(1/10)); after the explicit nonsplit degree-two rank jump, the known physical rank-two lattice has image P+2E_H(Q(u)), intersection aP+bR with a odd and b even, minimum nondegenerate norm 5, P+2R growth Theta(B^(1/12)), and total known-lattice upper O(B^(1/10) log B). For the complete full-split family Hom_K(P_eta,E0_K)=0 generically, while the rational exceptional Prym/E0 isogeny locus is an unbo
SR-STR-017	Euler third-face local blocker law and dimension-two sieve	For x^2+y^2=square, delta_2=2/9 and delta_p=2(p-chi_4(p))/(p^2+6p+1)=2/p+O(p^-2).
SR-STR-031	Finite-order Selberg-Delange theorem contract	For F(s)=zeta(s)^zH(s), verify factorization, analytic region, growth and coefficient majorants.
SR-STR-032	Exact shared-hypotenuse representation convolution	For x^2+y^2=p^2 and p^2+c^2=d^2, C_raw=2 sum H(p)L_B(p), then correct primitive multiplicity separately. Stage14-t2 further gives a quantitative Pythagorean-chain envelope on the moving triple correction, with the strongest frozen global boundary T(B)=o(B(log B)^3); this is not a square-root or strict sub-square-root theorem and moving-base summation remains the obstruction.
SR-STR-033	Mod-7 two-parameter exactly-one-face family	Coprime m=2 mod14,n=1 mod14 give a primitive integral-space exactly-one family with N1(B)>>B^(1/2).
SR-STR-037	Exact two-face gluing with multiplicity one	Two primitive oriented Pythagorean faces glued on a common physical leg reconstruct a primitive canonical cuboid without hidden scale multiplicity.
SR-STR-038	Raw-pair face-incidence graph identity	E(B)=N2(B)+3T(B)=1/2 sum_F deg_B(F), hence N2(B)<=E(B), on the Stage14 integral-space raw-incidence graph. Stage14-t20 corrects the triple-collision measure to raw-pair edges: for kappa(e)=[d^2-s^2], the trivial class has n_1(B)=3T(B), hence 9T(B)^2<=Q_edge(B). This is an exact population identity, not a collision saving.
SR-STR-040	Consumed and superseded asset recharge discipline	Each support, core and fiber is charged once; superseded theorems retain valid lemmas but consumed data cannot be recharged.
SR-STR-041	Oriented-record to canonical face-incidence projection	Oriented face records project with exact factor two to canonical face incidences, with one/two/three-face overlaps corrected separately.
SR-STR-052	Gaussian quotient and cross-resultant dictionary	Separate self-generated Gaussian root data from cross-point congruence information carried by quotients and resultants. Stage14-t68 sharpens the cross-resultant dictionary: after mutually Cayley-private conditioning, a canonical prime divides a cross resultant exactly when it appears as an extra divisor of the partner Cayley factor. Removing those contaminated pairs leaves no generic canonical-prime cross-resultant modulus, so the dictionary is a no-go boundary rather than a fresh saving.
SR-STR-054	Reciprocal divisor-CRT kernel	The stable q17 inner problem consists of two coupled divisor choices, a factor-pair equation and two reciprocal CRT congruences.
SR-STR-056	Parameter-mass versus physical-height lower-family exponent calculus	If #Omega(T)>>T^(kappa-o(1)) and R<<T^(h+o(1)) with controlled fibers, then N2(B)>>B^(kappa/h-o(1)); beating 1/4 requires kappa/h>1/4.
SR-STR-065	Support-energy upper exponent gate	If #T(B)<=B^(sigma+o(1)) and sum_t w_B(t)^2<=B^(eta+o(1)), then N2(B)<=B^((sigma+eta)/2+o(1)); strict sub-half requires sigma+eta<1.
SR-STR-071	Support/off-diagonal collision hybrid gate	With support S and off-diagonal collisions C, N2<=S+sqrt(S*C); if S<=B^sigma and C<=B^kappa, strict sub-half follows from sigma<1/2 and sigma+kappa<1.
SR-STR-076	Matched finite M2-M3 completion panel	At common cutoffs B<=2000, exact primitive canonical no-space counts are joined by B and evaluated under H_ge2=M2+M3, P=M2+3M3, Phi=M3/H_ge2 and Theta=3M3/P.
SR-STR-080	Three simultaneous norm-support restrictions on p q g	The reduced p and core g are sums of two squares, kappa=sf(p+q) is odd with all odd primes split mod 4, and the relevant scale variables are coprime.
SR-STR-084	Exact normalized physical-height identity with primitive scale retained	The normalized receiver satisfies Gamma^2 R^2=4 delta^2 h^2 J(p+q), with primitive scale Gamma retained and tau-asymmetric core-height consequences.
SR-STR-085	Cross-gcd primitive-scale factorization and physical diagonal product	Three pairwise-coprime cross-gcd channels give Gamma=2 delta epsilon C and R=(h/epsilon) kappa w-prime c-prime with h*kappa<=epsilon B.
SR-STR-086	Residual-height versus cross-gcd threshold dichotomy	For residual positive integer L=w-prime c-prime=w c/C, a uniform threshold splits survivors into small h*kappa or large cross-gcd cancellation regimes.
SR-STR-091	Squarefree-kernel paired-slope residue receiver	kappa divides m^2-n^2 and r^2+s^2, is coprime to mnrs, and imposes paired slope residue conditions modulo kappa.
SR-STR-092	Dyadic kappa raw-slope sieve	On dyadic kappa bands, paired slope residues admit a raw slope-sieve bound with a divisor switch when K exceeds the height scale.
SR-STR-093	Raw-slope sieve composition barrier	Composing the raw kappa sieve with later physical fibers loses the apparent saving; the next valid target must weight by the physical budget first.
SR-STR-094	Physical-weighted fixed-kappa hyperbolic sieve	For fixed kappa a hyperbolic pair lemma counts physically weighted slope pairs with a 1/kappa-type saving before summing moduli.
SR-STR-095	Modulus-entropy barrier after physical weighting	Summing the fixed-kappa weighted bound over a dyadic modulus range cancels the 1/kappa saving; kappa is self-generated rather than independent.
SR-STR-118	Möbius injection from occupied q1 support to active-face support	An exact fractional-linear coordinate adapter injects occupied q1 values into the frozen Stage14 active-face support and transfers packets without changing the physical cutoff measure.
SR-STR-140	Uniform high-occupancy physical-mass deficit gate on the MAIN wall slab	For fixed eta0, alpha,beta>0, with E_alpha={(P,U):F_MAIN(P,U;B)>B^-alpha H_phys^MAIN(P,U;B)}, the missing theorem is sum_{E_alpha} H_phys^MAIN << B^-beta+o(1) sum_{P,U} H_phys^MAIN. It would imply a strict wall power deficit; no such alpha,beta are proved.
SR-STR-141	Exactly-one-face ambient population order and Pythagorean scale mechanism	For primitive canonical R<=B cuboids with exactly one integral face and no space condition, M1(B) asymp B^2 log B and M1(B)/U(B) asymp log(B)/B. The power drop comes from replacing one free edge-pair by scaled primitive Pythagorean faces; the logarithm comes from the harmonic face-scale sum.
SR-STR-143	Exactly-two-face ambient asymptotic and cubic-host thinning law	For primitive canonical R<=B cuboids with exactly two integral face diagonals and no space-diagonal condition, M2(B)~C_M2 B(log B)^5 with C_M2>0; against U(B)=pi B^3/(36 zeta(3))+O(B^2), M2/U~[36 zeta(3) C_M2/pi](log B)^5/B^2.
SR-STR-146	Current certified Euler-cuboid global envelope with unresolved true exponent	For the primitive canonical Euler population under R<=B, the current project-wide bounds are: for every epsilon>0, M3(B)>>_epsilon B^(1/3-epsilon), and for every fixed eta<1/46, M3(B)<<_eta B(log B)^(5-eta). The lower is the generalized two-parameter Saunderson theorem promoted by Stage26; the upper is the explicit thin-cover bound inherited by the Stage20 closeout. No epsilon-free one-third lower, asymptotic, or true exponent is identified.
SR-STR-148	One-face conditioning logarithmically enhances space-diagonal survival over the ambient space baseline	Stage21 proves N1/M1~(kappa*pi/18)(log B)^2/B while N_S^all/U~[9 zeta(3)/(8 pi G)]/B, hence (N1/M1)/(N_S^all/U)~[4 kappa pi^2 G/(81 zeta(3))](log B)^2 -> infinity. The intrinsic polynomial space cost remains B^-1; the enhancement is localized to the shared-P multiplicative principal bulk, with fine pole/local-factor allocation unresolved. The hostile-audited geometric ledger gives M1:(a,b)=(2,2) on the F_2 resolution and N1:(a,b)=(1,4) on the Q(i)-twisted 4A1 quartic-del-Pezzo resolution, so the
SR-STR-151	Exact-height Kummer-to-Jacobi receiver with moving-transverse-family dispersion gate	The Stage23 Q06 source chain identifies physical height exactly as H_M=d on the two-face Kummer surface, gives bounded oriented-object multiplicity, and sharpens the fixed-squareclass (4,4) receiver Z^2=kappa P_U(x,y) to the Jacobi square lift y^2=(t^2+s)(1+s t^2). A single fixed physical rational curve has height exponent at most 1/2, but no uniform count for the moving transverse Jacobi/Kummer family is proved, so the global half-power Stage19 ceiling is not improved.
SR-STR-152	Already-space pair-overlap thinning for the second-face transition	On the Stage17 source host, x^2+y^2=p^2 and p^2+z^2=d^2 are already imposed. Entering Stage19 requires x^2+z^2=q^2 or y^2+z^2=q^2. The same-host pair-overlap theorem gives N2(B)<=P(B)=o(B(log B)^3), hence N2(B)/N1(B)->0 without charging the space condition again.
