id	name	object
SR-STR-001	Primitive canonical cuboid population convention	Positive edges are normalized by 0<a<b<c and gcd(a,b,c)=1 under a declared height and exact face-mask convention.
SR-STR-002	Saunderson parametrization of primitive Euler bricks	For a primitive Pythagorean triple (u,v,w), A=u|4v^2-w^2|, B1=v|4u^2-w^2|, C=4uvw; the generalized family yields M3(B)>>_epsilon B^(1/3-epsilon).
SR-STR-003	Degree-two K3 cover of the two-face toric Euler-brick host	On u^2=e^2+x^2 and v^2=e^2+y^2 adjoin z^2=x^2+y^2; the normalization is the degree-two K3 third-face cover.
SR-STR-004	Space-diagonal one-face transition asymptotic	For matched primitive canonical R<=B populations, N1(B)/M1(B)~(kappa*pi/18)(log B)^2/B.
SR-STR-005	No-space one-face to two-face transition asymptotic	For matched primitive canonical R<=B populations, M2(B)/M1(B)~(4*pi^2*C_M2/3)(log B)^4/B.
SR-STR-006	Space-diagonal two-face versus one-face zero-density transition	For matched primitive canonical space-diagonal populations under R<=B, N2(B)/N1(B)->0.
SR-STR-007	Directional exactly-two face-mask identities	N2,a=A_ab,ac-A3, N2,b=A_ab,bc-A3, N2,c=A_ac,bc-A3; directional contrasts cancel A3.
SR-STR-008	Thin but infinite space-diagonal cover of the exactly-two-face host	On M2 impose w^2=e^2+x^2+y^2; B^(1/4)<<N2(B)<<_epsilon B^(1/2+epsilon), hence N2/M2->0 while N2->infinity.
SR-STR-009	Euler-completion proportion on the unmarked at-least-two-face host	H_ge2=M2+M3 and Phi=M3/(M2+M3), with Phi->0.
SR-STR-010	Multiplicity-three Euler-completion proportion on raw face-pair incidences	P_j=M2,j+M3, P=M2+3M3, Theta_j=M3/P_j and Theta=3M3/(M2+3M3). For every fixed eta<1/46, B^(-5/6)(log B)^(-5) << Theta_j,Theta <<_eta (log B)^(-eta), so the literal same-measure completion proportions tend to zero; moreover Theta_j/Theta_k -> C_k/C_j. The adjacent-stratum object ratio M3/M2 is not a conditional probability.
SR-STR-011	Balanced Cayley-Gaussian packet normal form	Every active Stage14 face is covered by finitely decorated Cayley/Gaussian strips after gcd, sign, 2-primary and dyadic localization.
SR-STR-012	Uniform elliptic finite-fiber degree bridge	For E_t:Y^2=X(X-1)(X+t^2), exact 2-torsion and polynomial model heights, a uniform theorem gives deg_B(F)=B^o(1).
SR-STR-013	Primitive-first Möbius reindexing	Insert common-scale Möbius inversion before truncation so primitive coefficients and boundary layers use natural variables.
SR-STR-014	Stage14 exact finite census and regression oracle	Locked primitive canonical integral-space exactly-two census under d<=B with exact objects and masks through the frozen cutoff.
SR-STR-015	R504 elliptic base-change exceptional Prym locus gate	In audited R504, rank E_F(Q(k))=1 with primitive generator P and the original 3P family has Theta(B^(1/10)); after the explicit nonsplit degree-two rank jump, the known physical rank-two lattice has image P+2E_H(Q(u)), intersection aP+bR with a odd and b even, minimum nondegenerate norm 5, P+2R growth Theta(B^(1/12)), and total known-lattice upper O(B^(1/10) log B). For the complete full-split family Hom_K(P_eta,E0_K)=0 generically, while the rational exceptional Prym/E0 isogeny locus is an unbounded-complexity external theorem gate and is not proved empty or finite. On the original rank-one multiplication graph, every nondegenerate physical multiple is odd with n>=3 and the audited aggregate satisfies O(B^(1/9) sqrt(log B))=o(B^(1/4)); this does not cover genuinely new base changes or multisections.
SR-STR-016	Mixed-parity C17 genus-one lower family	For coprime p,q with p^4+q^4=17Z^2, e=4pq, x=4p^2-q^2, y=4q^2-p^2 and D=17Z give N2,c(B)>>sqrt(log B) on the physical cone.
