path	hits	snippets
docs/structure-radar/structure-registry.json	saunderson,k3,manin,literature,q-research,space-diagonal,zero-density,euler brick	"canonical_math_name": "Saunderson parametrization of primitive Euler bricks", | "Saunderson Euler brick parametrization", | "primitive Euler bricks Pythagorean triples" | "Saunderson construction"
stages/stage14/archive/tasks/14-e8/literature-euler-brick-count-audit.md	saunderson,k3,literature,space-diagonal,euler brick	# Stage14-e8 — literature-first audit for quantitative Euler-brick counting | for the number of primitive unordered Euler bricks with real Euclidean space height | The literature gate is the same as in e1--e7: | Djamel Himane, *Primitive Euler brick generator*, arXiv:2405.13061 (2024).
stages/stage20/final.md	saunderson,k3,space-diagonal,zero-density,euler brick	The lower theorem is proved internally below from an explicit primitive Saunderson family. The upper theorem is imported through the exact frozen Stage14-e11 interface printed below. The true exponent, a matching lower bound, and an asymptotic formula remain open. | ### 3.1 Stage14-e8 / PR #163 — K3 model and divisor envelope | Stage14-e8 writes `R_EB(B)` for primitive Euler bricks satisfying | no space-diagonal integrality requirement
docs/research-arsenal-index.md	saunderson,manin,research arsenal,zero-density	# Project-wide research arsenal index | | S20-W02 | CONSTRUCTION | primitive Saunderson `M_3(B) >> B^(1/6)` | `stage20-arsenal.md` | | | S25-W06 | LEDGER | Manin `(a,b)` transitions `(2,2)->(1,4)->(1,6)` | `stage25-arsenal-promotion.md` | | | S24-W-THIN-COVER | Independent qualitative zero-density proof; do not multiply it with AR-006 or the fixed-prime sieve. |
docs/stage14-arsenal.md	literature,q-research,space-diagonal,zero-density	- **PHYSICAL DEPENDENCE:** The convention itself is independent of space-diagonal integrality; Stage14's population additionally imposed integral `d`. | - **PHYSICAL DEPENDENCE:** Independent of space-diagonal integrality as an algebraic gluing lemma; exact-two gives one shared edge and triple-face gives three. | - **INPUT SHAPE:** Physical integral-space-diagonal cuboids and primitive oriented face vertices; edges are raw unordered integral-face pairs. | - **INPUT SHAPE:** Stage14 two-face integral-space-diagonal parametrization after Cayley/Gaussian transforms, gcd peels, signs, 2-primary data, and dyadic localization.
docs/stage20-arsenal.md	saunderson,k3,space-diagonal,zero-density	ASSUMPTIONS=primitive canonical Euler cuboids; 0<a<b<c; gcd=1; Euclidean R<=B; all three face diagonals integral; no space-diagonal integrality condition | ## S20-W02 — Primitive Saunderson quantitative lower family | NAME=S20-W02_PRIMITIVE_SAUNDERSON_LOWER | WHAT_IT_DOES_NOT_DO=does not prove independence of primes beyond the certified adelic/sieve statement; does not determine the global Euler exponent; must not be multiplied with K3/divisor losses as independent costs
docs/structure-radar/source-manifest/part-0001.json	saunderson,k3,literature,q-research	"path": "stages/stage26/26-60/general-saunderson-proof.md", | "path": "stages/stage14/archive/docs/q-research/stage14-q-literature-radar-roadmap.md", | "kind": "LITERATURE_RADAR", | "evidence_role": "PRIOR_LITERATURE_ANALYSIS",
stages/stage14/archive/tasks/14-e1/literature-seed.md	manin,literature,space-diagonal,euler brick	# Stage14-e1 — literature collision seed | > STATUS: `INITIAL_LITERATURE_SEED_CREATED` | The intended later questions are total and directionwise counting asymptotics for this ambient family, followed by a comparison with the main Stage14 integer-space-diagonal filter. | A paper is an **exact collision** only if it treats essentially this same ambient family and proves the same kind of height-counting/directional statement. Work on perfect cuboids, Euler bricks, nearly-perfect cuboids, parametrizations or elliptic fibrations is highly relevant but is not automatically an exact collision.
stages/stage14/archive/tasks/14-e2/literature-refresh.md	manin,literature,space-diagonal,euler brick	# Stage14-e2 — refreshed literature collision audit | The e2 literature question is therefore narrower than “does the perfect cuboid exist?” and different from the classical Euler-brick census: has this primitive **two-face ambient** family already been counted by real Euclidean height, especially directionwise according to the position of the shared edge? | Rathbun's work gives large exhaustive tables for body/Euler, edge and face cuboids under edge-based search conventions. OEIS A239618 records primitive Euler bricks, i.e. the Stage14-e subpopulation for which the **third** face diagonal is also integral, but uses a maximum-edge box rather than the real Euclidean height `D_R`. | max edge < 10^3  -> 5 primitive Euler bricks
stages/stage14/archive/tasks/14-e5/literature-filter-audit.md	k3,literature,space-diagonal,euler brick	# Stage14-e5 — literature-first space-diagonal filter audit | The main Stage14 population adds the integer-space-diagonal condition | The literature question is not merely whether perfect cuboids or Euler bricks have been studied. It is whether an existing result directly quantifies the survival probability and directional bias of this specific space-diagonal-square filter inside the Stage14-e anticanonical ambient population. | ## 1. Peschmann 2026 — space-diagonal blockers and elliptic fibers
stages/stage25/25-reentry-60/result.md	saunderson,k3,manin,space-diagonal	Let `M2(B)` be primitive canonical exactly-two-face cuboids and `M3(B)` primitive canonical Euler cuboids (all three face diagonals integral), with no space-diagonal integrality condition. | from the primitive Saunderson family and, for every fixed `eta<1/46`, | In particular every completion rate tends to zero, but the audited Saunderson family prevents it from decaying faster than the displayed polynomial-log floor. | TARGET=third_face_square_degree_2_K3_cover
stages/stage25/25-reentry-70/handoff-registry.json	saunderson,k3,manin,euler brick	"manin_a": 2, | "manin_b": 2 | "manin_a": 1, | "manin_b": 4
stages/stage25/25-reentry-70/result.md	saunderson,k3,manin,euler brick	- `Stage25-um-r011a` — geometric Manin-invariant log2/log4 mechanism. | The Stage21 fine mechanism is closed at the geometric Manin-invariant level: | and the log-four fine mechanism is closed at the geometric Manin-invariant level: | ### Three faces, no space condition — Euler bricks
stages/stage25/25-reentry-70/stage26-handoff.md	saunderson,k3,manin,space-diagonal	No integral-space-diagonal condition is imposed at this Stage26 entry point. | Thus the completion rates tend to zero but are quantitatively bounded below by a positive-power family through the current Saunderson construction. | The raw exactly-two host is the audited split `4A1` quartic-del-Pezzo / `Bl_4(P1xP1)` geometry. Imposing the third face produces the audited degree-two K3 cover. | The Stage25 r011a Manin ledger explains the source transitions
stages/stage26/26-10/audit.md	k3,manin,literature,space-diagonal	The incoming Stage18 M2 asymptotic and Stage20 M3 lower/upper corridor are frozen rather than reproved. The K3/Manin firewall is correct: the split quartic-del-Pezzo host asymptotic is not transferred through the degree-two K3 cover. No finite data, local blocker independence, space-diagonal condition, true M3 exponent, or perfect-cuboid conclusion is promoted. | Repository reuse/discovery is accepted as a project-scale preflight, not a claim of globally exhaustive literature review. | K3_FIREWALL_ACCEPTED=true
stages/stage26/26-10/discovery-ledger.md	saunderson,k3,manin,literature	SEARCH_TERMS=Stage18 Stage20 M2 M3 Euler cuboid third face raw pair completion K3 thin cover local obstruction shared edge | STRUCTURAL_SIGNATURES=exactly-two/exactly-three masks;at-least-two host;raw-pair multiplicity;quartic-del-Pezzo-to-degree-two-K3-cover;fixed-prime squareclass;primitive Saunderson family | - `C26-10-C`: `S20-W01` thin-cover upper, `S20-W02` primitive Saunderson lower, and `S20-W03` local blocker. | - `C26-10-E`: `S25-W06` geometric Manin transition ledger with the K3 transfer firewall.
docs/face-ratio-geometry-research.md	k3,manin,euler brick	van Luijk はこの $V$ が幾何学的既約な次数8の3二次式完全交叉で、16個のordinary double pointを持ち、最小特異点解消がK3曲面になることを示している。また、$V$ を2本の楕円曲線の積の反転商として明示している。Jarossay–Enriquez–Saettone–Svorayも同じ標準方程式とKummer構造を記載している。 | - M. Stoll and D. Testa, [The surface parametrizing cuboids](https://arxiv.org/abs/1009.0388)（48節点を持つ完全直方体のbox surfaceと、そのK3商を扱う別の曲面であり、上のface-cuboid曲面そのものと混同しない） | なお、Cohn等で `face-cuboid` が「3面対角線が整数のEuler brick」の意味に使われる場合がある一方、van Luijkおよび近年のface-cuboid曲面文献では「7つの長さのうち面対角線1本を除いて有理」という意味で使われる。用語だけで同一視せず、上の方程式を基準とする。 | ### 4.7 最小解消とK3／Kummer構造【文献確認済み／独立再構成は未完了】
docs/stage26-arsenal-promotion.md	saunderson,k3,manin	## S26-W01 — GENERALIZED_SAUNDERSON_TWO_PARAMETER_LOWER | Mechanism: all primitive Pythagorean triples feed the Saunderson identities; the Euclidean parameter space has quadratic size; `R<72T^6`; `w^3` is a physical face-diagonal invariant; fixed-output fibers are divisor-size. | ## S26-W03 — K3_THIRD_FACE_UPPER_INTERFACE | Reusable upper-side interface: split `4A1` quartic-del-Pezzo/two-face host, degree-two K3 third-face cover, exact local blocker, separate growing-prime Selberg sieve, and Huang thin-cover saving.
docs/structure-radar/README.md	literature,research arsenal,q-research	- the project-wide research arsenal and every stage arsenal/promotion file; | - the complete Stage14 q-research literature radar; | `ACTIVE` is never awarded from vocabulary similarity.  A literature lead must | 5. check the existing q-ledger and research arsenal before opening web research;
scripts/structure_radar.py	saunderson,literature,q-research	if "/q-research/" in path and Path(path).suffix in {".md", ".json"}: | return "LITERATURE_RADAR" | if kind == "LITERATURE_RADAR": | if kind == "LITERATURE_RADAR":
stages/stage14/archive/docs/q-research/stage14-q-literature-radar-roadmap.md	k3,literature,q-research	# Stage14-q — Literature Radar Roadmap | Stage14-q is the recurring literature-surveillance track for Stage14. It does not prove the theorem directly. It asks whether a newly isolated Stage14 bottleneck already has a usable human-developed theorem, proof architecture, descent, sieve, lattice method, computational package, or data set that can be transferred into the active proof tracks. | requested literature-only work and scoped q investigations deferred by XQ. | ### Stage14-q1 — Reconstruct the literature ledger
stages/stage14/archive/docs/q-research/stage14-q7-summary.md	k3,literature,q-research	NEGATIVE_RESULTS_ARCHIVE=stages/stage14/archive/docs/q-research/stage14-q7-negative-results-archive.md | Current trigger-only literature reopen candidates are: | - genuinely new K3 geometry not equivalent to the closed fixed-M4 route;
