evidence_sid	evidence_path	substage	result_sid	result_path	result_status	result_cards
SRC-A4829212BBEA	stages/stage15/evidence/stage15_6aa_core_adapter.json	aa	SRC-02C586AA6E80	stages/stage15/15-6aa/result.md	STRUCTURES_RECORDED	SR-STR-145,SR-STR-053,SR-STR-200
SRC-A38C0C13D57F	stages/stage15/evidence/stage15_6ab_core_charge.json	ab	SRC-0A57D8743B61	stages/stage15/15-6ab/result.md	STRUCTURES_RECORDED	SR-STR-200
SRC-5C2565F6EF1B	stages/stage15/evidence/stage15_6ac_high_low_core.json	ac	SRC-1CDBB0574194	stages/stage15/15-6ac/result.md	STRUCTURES_RECORDED	SR-STR-200,SR-STR-164
SRC-7C95B296D6A1	stages/stage15/evidence/stage15_6ad_reconstruction.json	ad	SRC-71ED74BA5B0C	stages/stage15/15-6ad/result.md	STRUCTURES_RECORDED	SR-STR-164
SRC-1BCB3D0B2D5A	stages/stage15/evidence/stage15_6ae_single_square_trigger.json	ae	SRC-279C87D90A9D	stages/stage15/15-6ae/result.md	STRUCTURES_RECORDED	SR-STR-164,SR-STR-133
SRC-2A70B6AEC891	stages/stage15/evidence/stage15_6af_cross_resultant.json	af	SRC-E595E95D1C48	stages/stage15/15-6af/result.md	STRUCTURES_RECORDED	SR-STR-169,SR-STR-164
SRC-D913CDC6DEFE	stages/stage15/evidence/stage15_6ag_pair_energy.json	ag	SRC-9BD904BF3022	stages/stage15/15-6ag/result.md	STRUCTURES_RECORDED	SR-STR-169
SRC-ED55E66295B5	stages/stage15/evidence/stage15_6ah_full_common_support.json	ah	SRC-6E4E882ACEC8	stages/stage15/15-6ah/result.md	STRUCTURES_RECORDED	SR-STR-200,SR-STR-169
SRC-426184B2A49F	stages/stage15/evidence/stage15_6ai_genus_one_model.json	ai	SRC-8B361ACE1FEA	stages/stage15/15-6ai/result.md	STRUCTURES_RECORDED	SR-STR-175,SR-STR-162,SR-STR-163
SRC-FC0A68529FF6	stages/stage15/evidence/stage15_6aj_height_bridge.json	aj	SRC-5C591B0D45C3	stages/stage15/15-6aj/result.md	STRUCTURES_RECORDED	SR-STR-164,SR-STR-151
SRC-1B12333253F5	stages/stage15/evidence/stage15_6ak_outer_reconstruction.json	ak	SRC-76FC84DE6AE2	stages/stage15/15-6ak/result.md	STRUCTURES_RECORDED	SR-STR-164
SRC-166CB64BB67B	stages/stage15/evidence/stage15_6al_coordinate_cells.json	al	SRC-1DBC5E961B2F	stages/stage15/15-6al/result.md	STRUCTURES_RECORDED	SR-STR-200,SR-STR-186
SRC-EF309109F527	stages/stage15/evidence/stage15_6am_coordinate_core_split.json	am	SRC-0107FEFCAC77	stages/stage15/15-6am/result.md	STRUCTURES_RECORDED	SR-STR-200,SR-STR-195,SR-STR-162
SRC-173D3CF48330	stages/stage15/evidence/stage15_6an_isotrivial_quartic.json	an	SRC-7C73BD912121	stages/stage15/15-6an/result.md	STRUCTURES_RECORDED	SR-STR-195,SR-STR-219
SRC-C480F7EC2F65	stages/stage15/evidence/stage15_6ao_projective_curve_bound.json	ao	SRC-BAC0319194D7	stages/stage15/15-6ao/result.md	STRUCTURES_RECORDED	SR-STR-219
SRC-26257E7C8EB7	stages/stage15/evidence/stage15_6ap_kappa_coupling.json	ap	SRC-E1B97E4CA1C3	stages/stage15/15-6ap/result.md	STRUCTURES_RECORDED	SR-STR-219,SR-STR-169
SRC-FF92EAD90123	stages/stage15/evidence/stage15_6aq_norm_core_gate.json	aq	SRC-2A2C3C78E160	stages/stage15/15-6aq/result.md	STRUCTURES_RECORDED	SR-STR-169,SR-STR-133
SRC-B3208CAD7798	stages/stage15/evidence/stage15_6ar_twist_adapter.json	ar	SRC-4551D0DBF431	stages/stage15/15-6ar/result.md	STRUCTURES_RECORDED	SR-STR-195
SRC-3CE0CB4BB8FC	stages/stage15/evidence/stage15_6as_twist_height_audit.json	as	SRC-C741E3476131	stages/stage15/15-6as/result.md	STRUCTURES_RECORDED	SR-STR-162
SRC-4E8253929E00	stages/stage15/evidence/stage15_6at_branch_memory_audit.json	at	SRC-CBB0CFD117F4	stages/stage15/15-6at/result.md	STRUCTURES_RECORDED	SR-STR-162,SR-STR-133
SRC-1D328770B4F8	stages/stage15/evidence/stage15_6au_small_height_twist_audit.json	au	SRC-C9C59A832062	stages/stage15/15-6au/result.md	STRUCTURES_RECORDED	SR-STR-162
