sid	path	stage	kind	role	flags	preview	top_candidates
SRC-BF09C8BEAE3D	stages/stage10/external-review-synthesis.md	Stage10	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS		# Stage10 外部AIレビュー統合メモ | Stage9後に7件の独立AIレビューを比較した。外部AIの結論は証拠として採用せず、数式・監査コード・固定データへ戻して個別に検算する。 | ## 共通して支持された点 | - Stage9の二段階約数鎖、oriented chainの重複度、追加平方条件は妥当 | - 有限通過率や合同被覆率を漸近値へ読み替えない | - 現在の約数鎖変数を独立boxとみなす標準square sieveは未準備 | - 次の短期候補として、固定合同類に属するprimitiveな一面のみ成立無限族を試す | ## 採用した研究判断	SR-STR-216:20.8:Explicit Peyre-Tamagawa constant for the primitive exactly-two two-face ambient ; SR-STR-032:19.6:Exact shared-hypotenuse representation convolution; SR-STR-156:19.5:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-223:19.2:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-169:17.9:Correlation-only canonical-divisor/projective-mover transfer suite; SR-STR-181:17.4:Primitive physical two-face gluing and compact conjugate-gap chart; SR-STR-159:16.9:R505 common-squarefree-core Stage19 receiver with R506 rank-one coordinate subsu; SR-STR-158:15.6:Explicit nonsplit degree-two R504 rank-jump construction
SRC-7C1470298987	stages/stage12-ex/critical-chain.md	Stage12	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	open,fail,pass,asymptotic,numerical,finite,existence	# Stage12-EX0 — Critical chain extraction | > **STATUS:** `STAGE12_EX0_CRITICAL_CHAIN_FIXED` | > | > **SCOPE:** frozen Stage12 R09 primitive oriented asymptotic only | > | > **R09_REOPEN_REQUIRED:** `false` | > | > **NEW_MATHEMATICS_ADDED:** `false`	SR-STR-222:347.4:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-223:192.6:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-165:185.8:Gaussian quadratic-Hecke large-sieve transfer with ray-class correction; SR-STR-162:172.3:Moving first-small-point height pipeline via large prime plus complete 2-descent; SR-STR-148:162.9:One-face conditioning logarithmically enhances space-diagonal survival over the ; SR-STR-216:151.9:Explicit Peyre-Tamagawa constant for the primitive exactly-two two-face ambient ; SR-STR-200:145.6:Primitive common-core Gaussian root-line spacing and dual Cayley orientation com; SR-STR-225:143.5:Signed fixed-U Kummer rectangle/Rayleigh receiver and polar-Schatten firewall
SRC-67E3760449EB	stages/stage12-ex/roadmap.md	Stage12	ROADMAP	PLANNED_OR_OPEN_STRUCTURE	proved,open,fail,pass,asymptotic,numerical	# Stage12-EX — Human External Verification Roadmap | ## Purpose | Stage12 is frozen at R09. Stage12-EX does **not** reopen or alter the Stage12 theorem by default. | The purpose of Stage12-EX is to convert the frozen Stage12 proof into small, human-verifiable mathematical units, obtain independent external human feedback where practical, record objections and confirmations precisely, and turn that feedback into a reusable review protocol for Stage13 and Stage14. | Primary frozen source: | ```text | review/PC-N1-2-FINAL-SELF-CONTAINED-20260807-R09.html | stages/stage12/final.md	SR-STR-222:345.6:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-162:150.7:Moving first-small-point height pipeline via large prime plus complete 2-descent; SR-STR-223:142.8:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-225:128.1:Signed fixed-U Kummer rectangle/Rayleigh receiver and polar-Schatten firewall; SR-STR-206:121.4:Single-prime two-square influence and primitive projective-slope transport chain; SR-STR-163:119.4:Branch-sensitive generalized-Jacobian/Prym and rational-2-torsion descent interf; SR-STR-219:116.1:Fixed-direction j=1728 fiber compression versus active-direction sparsity barrie; SR-STR-165:115.8:Gaussian quadratic-Hecke large-sieve transfer with ray-class correction
SRC-E0FCF27286D5	stages/stage12/README.md	Stage12	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	open,asymptotic,nonexistence,existence	# Stage12 — frozen at R09 | Stage12-N1-2 is complete and frozen at the R09 self-contained proof bundle. | ## Active Stage12 files | ```text | stages/stage12/final.md | stages/stage12/manifest-r09.md | review/PC-N1-2-FINAL-SELF-CONTAINED-20260807-R09.html | ```	SR-STR-222:104.4:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-215:53.1:Seeded/seedless K-free reciprocal divisor-allocation CRT first-moment gate; SR-STR-165:49.4:Gaussian quadratic-Hecke large-sieve transfer with ray-class correction; SR-STR-162:48.8:Moving first-small-point height pipeline via large prime plus complete 2-descent; SR-STR-223:46.1:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-169:42.8:Correlation-only canonical-divisor/projective-mover transfer suite; SR-STR-041:41.0:Oriented-record to canonical face-incidence projection; SR-STR-151:37.2:Exact-height Kummer-to-Jacobi receiver with moving-transverse-family dispersion 
SRC-506BBA15DEC2	stages/stage12/final.md	Stage12	FINAL	CERTIFIED_SYNTHESIS	proved,open,asymptotic,numerical,finite,nonexistence,existence	# Stage12-N1-2 Final R08 — self-contained proof text through 3j | > **BUNDLE_ID:** `PC-N1-2-FINAL-SELF-CONTAINED-20260807-R09` | > | > **COMPLETED_THROUGH:** `Stage12-N1-3j` | > | > **SOURCE_SNAPSHOT_COMMIT:** `d69a6e2ee352700660776f55a749eebb432552f9` | > | > **SOURCE_LEDGER_SHA256:** `800a664bf940e751cb1fafc7758a2692c6950eecb6ef94784738d276a4a0debe`	SR-STR-222:267.6:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-223:133.4:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-225:130.9:Signed fixed-U Kummer rectangle/Rayleigh receiver and polar-Schatten firewall; SR-STR-165:126.0:Gaussian quadratic-Hecke large-sieve transfer with ray-class correction; SR-STR-162:120.5:Moving first-small-point height pipeline via large prime plus complete 2-descent; SR-STR-200:103.8:Primitive common-core Gaussian root-line spacing and dual Cayley orientation com; SR-STR-219:101.9:Fixed-direction j=1728 fiber compression versus active-direction sparsity barrie; SR-STR-191:97.7:Non-independent weighted local-Sha-height retainer chain
SRC-4D55091C3753	stages/stage12/manifest-r09.md	Stage12	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	proved,asymptotic,finite,existence	# Stage12-N1-2 final self-contained manifest R09 | > **BUNDLE_ID:** `PC-N1-2-FINAL-SELF-CONTAINED-20260807-R09` | > | > **COMPLETED_THROUGH:** `Stage12-N1-3j` | > | > **SOURCE_SNAPSHOT_COMMIT:** `d69a6e2ee352700660776f55a749eebb432552f9` | > | > **SOURCE_LEDGER_SHA256:** `800a664bf940e751cb1fafc7758a2692c6950eecb6ef94784738d276a4a0debe`	SR-STR-222:160.8:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-225:89.7:Signed fixed-U Kummer rectangle/Rayleigh receiver and polar-Schatten firewall; SR-STR-206:78.4:Single-prime two-square influence and primitive projective-slope transport chain; SR-STR-165:77.8:Gaussian quadratic-Hecke large-sieve transfer with ray-class correction; SR-STR-148:76.5:One-face conditioning logarithmically enhances space-diagonal survival over the ; SR-STR-169:75.4:Correlation-only canonical-divisor/projective-mover transfer suite; SR-STR-219:72.1:Fixed-direction j=1728 fiber compression versus active-direction sparsity barrie; SR-STR-223:69.8:Moving genus-five triple gate and compatible paired-small-point interface
SRC-43B202788DC8	stages/stage12/post_stage13_publication_plan.md	Stage12	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	open,asymptotic	# Stage12 post-Stage13 publication plan | Status: deferred until Stage13 reaches a clear milestone. | After Stage13 reaches a clear milestone, return to the frozen Stage12 R09 result and prepare it for possible journal submission. | ## Plan | 1. Treat R09 as the mathematical baseline and build a submission-grade master proof from it. | 2. Before choosing a journal, perform a serious literature review to determine what is already known, whether an equivalent asymptotic has appeared, and what the actual novelty and positioning are. | 3. Choose a small set of candidate journals only after that literature review, using journal scope, recent related papers, audience, and author guidelines. | 4. Adapt the master manuscript to the first-choice journal rather than preparing a separate general-mathematician version first.	SR-STR-222:121.9:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-169:69.4:Correlation-only canonical-divisor/projective-mover transfer suite; SR-STR-223:58.5:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-162:54.6:Moving first-small-point height pipeline via large prime plus complete 2-descent; SR-STR-215:54.0:Seeded/seedless K-free reciprocal divisor-allocation CRT first-moment gate; SR-STR-163:52.6:Branch-sensitive generalized-Jacobian/Prym and rational-2-torsion descent interf; SR-STR-209:50.7:Common-core centered root discrepancy and variable-modulus character/projective-; SR-STR-165:46.0:Gaussian quadratic-Hecke large-sieve transfer with ray-class correction
SRC-99A6201E04B1	stages/stage13/README.md	Stage13	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS		# Stage13 — final layout | Stage13 is closed. Normal reading uses only: | ```text | stages/stage13/final.md | stages/stage13/manifest-r07.md | review/STAGE13-FINAL-SELF-CONTAINED-20260810-R07.html | ``` | Earlier review bundles, task-by-task results, working policies, roadmaps, and	SR-STR-222:25.6:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-041:14.6:Oriented-record to canonical face-incidence projection; SR-STR-191:14.3:Non-independent weighted local-Sha-height retainer chain; SR-STR-052:13.4:Gaussian quotient and cross-resultant dictionary; SR-STR-054:12.6:Reciprocal divisor-CRT kernel; SR-STR-205:12.1:Principal-density covariance localization and zero-mode conditional-uplift reduc; SR-STR-207:12.0:Nested primitive-slope acceptance and canonical two-factor density receiver; SR-STR-218:11.8:Fixed-tuple projective all-short lattice refinement and cross-tuple energy quant
SRC-1FC4EE10022E	stages/stage13/data/13-13fr/README.md	Stage13	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	finite	# Stage13-13fr audit data | No finite data file is used as proof. The dedicated audit recomputes the inert unit-state identities directly for several inert primes and checks the proof-facing lock tokens.	SR-STR-222:21.7:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-200:17.5:Primitive common-core Gaussian root-line spacing and dual Cayley orientation com; SR-STR-165:15.9:Gaussian quadratic-Hecke large-sieve transfer with ray-class correction; SR-STR-186:13.8:Balanced inert-prime quartic square-sieve dispatch; SR-STR-218:12.9:Fixed-tuple projective all-short lattice refinement and cross-tuple energy quant; SR-STR-029:12.7:Fixed-prime overlap sieve with ordered limits; SR-STR-114:12.1:Full-2-torsion Selmer support under a physical cutoff; SR-STR-169:11.7:Correlation-only canonical-divisor/projective-mover transfer suite
SRC-5AF47D4B840C	stages/stage13/final.md	Stage13	FINAL	CERTIFIED_SYNTHESIS	proved,open,pass,asymptotic,numerical,finite,conditional,nonexistence,existence	# Stage13 — canonical working file | > **STATUS:** `STAGE13_COMPLETE` | > | > **SCOPE:** primitive canonical face-ratio analysis | > | > **CANONICAL_WORKING_FILE:** `stages/stage13/main.md` | This file is the living mathematical source for Stage13. The completed Stage13-1 and Stage13-2 initial documents remain under `initial/` as provenance; their active definitions and decomposition are consolidated here before the Stage13-3 analysis. | ## §1. Task 13-1 — definition of the observed ratio	SR-STR-222:330.6:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-223:196.0:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-225:170.7:Signed fixed-U Kummer rectangle/Rayleigh receiver and polar-Schatten firewall; SR-STR-162:158.4:Moving first-small-point height pipeline via large prime plus complete 2-descent; SR-STR-181:157.0:Primitive physical two-face gluing and compact conjugate-gap chart; SR-STR-200:156.2:Primitive common-core Gaussian root-line spacing and dual Cayley orientation com; SR-STR-165:137.6:Gaussian quadratic-Hecke large-sieve transfer with ray-class correction; SR-STR-206:136.7:Single-prime two-square influence and primitive projective-slope transport chain
